ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS
LaPolla-2003-591-1	1	still is			53	†(still.is)	χaiʂə
LaPolla-2003-591-2	2	emperor	3377	EMPEROR	60	emperor	juanʁuai // juɑnʁuɑi // juɑnʁuɑi109 // ʐmitʂi // ʐmətʂi
LaPolla-2003-591-3	3	also			40	also	lə // tou
LaPolla-2003-591-4	4	go	695	GO	155	go // go:EMPH // go:PRS	k // ka: // ku // kɑ: // kə // kə: // qɑ // qə // ʁ // ʁa // ʁɑ // ʁə
LaPolla-2003-591-5	5	become	1990	BECOME	27	become // become:PRS	pe // pɑ:
LaPolla-2003-591-6	6	this manner			26	this.manner	tsəi
LaPolla-2003-591-7	7	Thɑnkhemu			25	Thɑnkhemu	thɑnkhemu
LaPolla-2003-591-8	8	that one	78	THAT	26	that:one // that:one:CL	thou // thɑ
LaPolla-2003-591-9	9	son	1620	SON	24	son	tʂi
LaPolla-2003-591-10	10	cry	1839	CRY	24	cry	zei
LaPolla-2003-591-11	11	come	1446	COME	81	come // come:PRS	l // lu // lů // lɑ // lɑ: // lə
LaPolla-2003-591-12	12	what	1236	WHAT	27	what	ȵi: // ȵiɣi
LaPolla-2003-591-13	13	ask	1309	ASK (INQUIRE)	21	ask	keʴl
LaPolla-2003-591-14	14	there	1937	THERE	80	there	thu // thɑ // thə // ɦɑlɑ // ɦɑlə
LaPolla-2003-591-15	15	Likhemu			20	Likhemu	likhemu
LaPolla-2003-591-16	16	Chen Diqing			21	Chen.Diqing	tshəntitɕhin // tshəntitɕhən // tɕhəntitɕhin
LaPolla-2003-591-17	17	other	197	OTHER	17	other	nai
LaPolla-2003-591-18	18	he or she [3sg REFL]		HE OR SHE OR IT	16	3sgREFL	ȵi: // ȵiȵi
LaPolla-2003-591-19	19	Chen family			14	Chen.family	tshəntɕɑ
LaPolla-2003-591-20	20	this family			13	this:family	tsoqpi
LaPolla-2003-591-21	21	companion	1325	FRIEND	12	companion	gul
LaPolla-2003-591-22	22	encounter	1831	MEET	12	encounter	tʂepe
LaPolla-2003-591-23	23	die	1494	DIE	12	die	ʂe
LaPolla-2003-591-24	24	old man	406	OLD MAN	14	old.man	qɑpɑ // qɑpə
LaPolla-2003-591-25	25	person	683	PERSON	12	person	mi
LaPolla-2003-591-26	26	husband	1200	HUSBAND	12	husband	wutɕupu
LaPolla-2003-591-27	27	two	1498	TWO	14	DEF:two:CL // INDEF:two:CL // two	jə // kəzzi // ləzzi
LaPolla-2003-591-28	28	parrot	882	PARROT	12	parrot	genkuo // gənkuo
LaPolla-2003-591-29	29	snake	730	SNAKE	10	snake	bəs
LaPolla-2003-591-30	30	dream	2455	DREAMING OR DREAM	10	dream	ʐmu
LaPolla-2003-591-31	31	wife	1199	WIFE	11	wife	lɑntɕi // sətsim
LaPolla-2003-591-32	32	three	492	THREE	11	three	sɑn // xsə
LaPolla-2003-591-33	33	seven	1704	SEVEN	11	seven	ɕtɕi // ɕtɕə
LaPolla-2003-591-34	34	lion	1386	LION	9	lion	sin
LaPolla-2003-591-35	35	today	1283	TODAY	8	today	pəs
LaPolla-2003-591-36	36	door	1567	DOOR	8	door	dʑy
LaPolla-2003-591-37	37	mama		!MAMA	8	mama	mɑ:
LaPolla-2003-591-38	38	LNK (as soon as)			8	LNK(as.soon.as)	ȵiɑufu
LaPolla-2003-591-39	39	send	1127	SEND	8	send	ɕi
LaPolla-2003-591-40	40	here	136	HERE	14	here	tsu // tsɑ // tsə
LaPolla-2003-591-41	41	new (again)	1231	NEW	8	new(again)	xsə
LaPolla-2003-591-42	42	dog	2009	DOG	8	dog	khuə
LaPolla-2003-591-43	43	lose	1660	LOSE	8	lose	ɣʐu
LaPolla-2003-591-44	44	beside	1816	BESIDE	8	beside	pienɑ
LaPolla-2003-591-45	45	sleep	1585	SLEEP	7	sleep	nə
LaPolla-2003-591-46	46	uncle	1327	UNCLE	7	uncle	upu
LaPolla-2003-591-47	47	relieve oneself			7	relieve.oneself	sei
LaPolla-2003-591-48	48	man-eating demon			15	man.eating.demon	jautsan // jɑutsan
LaPolla-2003-591-49	49	learn	504	LEARN	7	learn	su
LaPolla-2003-591-50	50	water	948	WATER	7	water	tsə
LaPolla-2003-591-51	51	seek	1468	LOOK FOR	43	seek	meʴʐ // meʴʐə
LaPolla-2003-591-52	52	stomach	819	STOMACH	7	stomach	χsutsqhɑ
LaPolla-2003-591-53	53	then	2921	THEN	7	†(then)	tɕiu
LaPolla-2003-591-54	54	tether	2891	TIE UP (TETHER)	7	tether	ʑdʑy
LaPolla-2003-591-55	55	Dʑemi			7	Dʑemi	dʑemi
LaPolla-2003-591-56	56	chat	2903	CHAT (WITH SOMEBODY)	8	chat	pethiɑu // pethɑu
LaPolla-2003-591-57	57	row	1849	ROW	7	row	χtʂ
LaPolla-2003-591-58	58	hold	1448	HOLD	9	hold	ge // tsu // tʂu
LaPolla-2003-591-59	59	year	1226	YEAR	7	year	p
LaPolla-2003-591-60	60	needle	1382	NEEDLE (FOR SEWING)	7	needle	χa
LaPolla-2003-591-61	61	uncle’s wife			7	uncle’s.wife	entɕi
LaPolla-2003-591-62	62	sword and bow			6	sword.and.bow	kuɑntɑusəje
LaPolla-2003-591-63	63	male or son	2106	MALE PERSON	6	male/son	tʂi
LaPolla-2003-591-64	64	do	813	DO	39	do // do:PRS	bəl // bələ // p // pu // pů // pɑ // pɑ: // pə // zuo
LaPolla-2003-591-65	65	scissors	356	SHEARS	6	scissors	qusɑp
LaPolla-2003-591-66	66	stone pestle			6	stone.pestle	thəl
LaPolla-2003-591-67	67	god	1944	GOD	7	god	xsə // ɑpə
LaPolla-2003-591-68	68	Huang			6	Huang	χuɑn
LaPolla-2003-591-69	69	ability	2527	ABILITY	6	ability	pənsə
LaPolla-2003-591-70	70	lazy	1564	LAZY	6	lazy	lɑn
LaPolla-2003-591-71	71	run away	2142	RUN AWAY	6	run.away	ɸu
LaPolla-2003-591-72	72	Qianmen			6	Qianmen	tɕhiɑnmeʴ
LaPolla-2003-591-73	73	meeting		!MEETING	7	meeting	ʐmu // ʐmə
LaPolla-2003-591-74	74	army	1561	ARMY	6	army	gueʴ
LaPolla-2003-591-75	75	bamboo tube			7	bamboo.tube	ʂputhuʂ // ʂpəthuʂ
LaPolla-2003-591-76	76	road	667	ROAD	6	road	gue:ʴ
LaPolla-2003-591-77	77	kill	1417	KILL	8	kill // kill:PRS	qəti // qətia: // q̥əti // tʂən
LaPolla-2003-591-78	78	roof tile			5	roof.tile	ʁɑ
LaPolla-2003-591-79	79	toilet	219	TOILET	7	toilet	mɑutshɑ // mɑutshə
LaPolla-2003-591-80	80	want	1784	WANT	26	want	tɕhe // tɕhi
LaPolla-2003-591-81	81	crow	913	CROW	5	crow	noʁu
LaPolla-2003-591-82	82	daughter	1357	DAUGHTER	5	daughter	tsi
LaPolla-2003-591-83	83	understand	1536	UNDERSTAND	5	understand	χsɑ
LaPolla-2003-591-84	84	drink	1401	DRINK	16	drink	tɕ // tɕh // tɕhi // tɕhə
LaPolla-2003-591-85	85	willing			5	willing	ʁu
LaPolla-2003-591-86	86	knowledge			5	knowledge	dʐuků
LaPolla-2003-591-87	87	bamboo	1927	BAMBOO	5	bamboo	ʂpə
LaPolla-2003-591-88	88	tonight			5	tonight	pəmaha
LaPolla-2003-591-89	89	wine	1524	WINE	5	wine	ɕi
LaPolla-2003-591-90	90	plank stairs			5	plank.stairs	buzd
LaPolla-2003-591-91	91	very many			4	very.many	qusu
LaPolla-2003-591-92	92	talk	2708	TALK	4	talk	ʐ
LaPolla-2003-591-93	93	hear [1sg]	1408	HEAR	4	hear:1sg	mɑ
LaPolla-2003-591-94	94	orangutan			15	orangutan	skup // ʂku // ʂkup
LaPolla-2003-591-95	95	mountain	639	MOUNTAIN	10	mountain	ʁopu // ʁu
LaPolla-2003-591-96	96	saddle	3065	SADDLE	5	saddle	gantsə // gɑntsə
LaPolla-2003-591-97	97	book	963	BOOK	4	book	ləɣz
LaPolla-2003-591-98	98	tie up	2891	TIE UP (TETHER)	4	tie.up	χʂ
LaPolla-2003-591-99	99	bezoar			4	bezoar	ȵiuχuɑn
LaPolla-2003-591-100	100	put	998	PUT	19	put	ɕi // ʂ // ʂə // ʑdʑy
LaPolla-2003-591-101	101	matter	2150	MATTER	4	matter	ʐə
LaPolla-2003-591-102	102	seed	714	SEED	4	seed	zu
LaPolla-2003-591-103	103	live (stay)	363	DWELL (LIVE, RESIDE)	5	live/stay	je // jə
LaPolla-2003-591-104	104	woof			4	woof	ɦɑŋů
LaPolla-2003-591-105	105	eyes	1248	EYE	4	eyes	mi:
LaPolla-2003-591-106	106	listen	1608	LISTEN	4	listen	xʂuɕtɕu
LaPolla-2003-591-107	107	thorn	124	THORN	4	thorn	tshəmɑ
LaPolla-2003-591-108	108	carry	700	CARRY	8	carry	lie // tɕy
LaPolla-2003-591-109	109	cluck			4	cluck	qutaq
LaPolla-2003-591-110	110	study	504	LEARN	4	study	su
LaPolla-2003-591-111	111	provide for			5	provide.for	pəʴʐ // pəʴʐə
LaPolla-2003-591-112	112	live treasure			4	live.treasure	χuopɑu
LaPolla-2003-591-113	113	fire	221	FIRE	4	fire	mə
LaPolla-2003-591-114	114	sign	1720	SIGN	4	sign	tʂi
LaPolla-2003-591-115	115	cart	122	CART	4	cart	tʂhetsə
LaPolla-2003-591-116	116	call	1084	CALL	14	call	ʁoi // ʂp // ʂpi // ʂpu // ʂpə // ʐmə
LaPolla-2003-591-117	117	everywhere	2999	EVERYWHERE	4	everywhere	tɕetɕi
LaPolla-2003-591-118	118	he or she [3sg]	2642	HE OR SHE	4	3sg	the:
LaPolla-2003-591-119	119	older brother	1759	OLDER BROTHER	5	older.brother	mə // tuwɑ
LaPolla-2003-591-120	120	exist		!EXIST	97	exist // exist:PRS	l // le // le: // w // we // we̊ // xu // ʂə // ʐa: // ʐi // ʐi? // ʐə
LaPolla-2003-591-121	121	beat to death			5	beat.to.death // beat.to.death:PRS	qəta: // qəti
LaPolla-2003-591-122	122	side	682	SIDE	3	side	xʂepi
LaPolla-2003-591-123	123	grab	855	SEIZE	3	grab	tsəqɑ
LaPolla-2003-591-124	124	that is			3	†(that.is)	tɕiuʂə
LaPolla-2003-591-125	125	head	1256	HEAD	10	head // head:LOC	q // qap // qə // qəpɑtʂɑ:
LaPolla-2003-591-126	126	after	1685	AFTER	25	after	jantɕi // jɑntɕi // ȵiantɕi // ȵike // ȵiɑntɕi
LaPolla-2003-591-127	127	goods	3406	MERCHANDISE	3	goods	χu
LaPolla-2003-591-128	128	sworn brother			3	sworn.brother	lokun
LaPolla-2003-591-129	129	go [1sg]	695	GO	3	go:PRS:1sg	kɑ:
LaPolla-2003-591-130	130	stone pile			3	stone.pile	qhaʴʁue
LaPolla-2003-591-131	131	later	2093	AFTERWARDS	3	later	steke
LaPolla-2003-591-132	132	exhort			3	exhort	χte
LaPolla-2003-591-133	133	kind	844	KIND (THING)	67	kind	hɑn // χan // χɑn // χən
LaPolla-2003-591-134	134	make (friends)		!MAKE (FRIENDS)	3	make(friends)	se
LaPolla-2003-591-135	135	water jar			3	water.jar	ʂuətʂhuɑ
LaPolla-2003-591-136	136	bed	1663	BED	3	bed	nəʂ
LaPolla-2003-591-137	137	hand	1277	HAND	10	hand	japə // jɑpə // jɑpəq // jəpɑ
LaPolla-2003-591-138	138	kidney	489	KIDNEY	3	kidney	ʂpəl
LaPolla-2003-591-139	139	stone mill			3	stone.mill	dzuɑʁl
LaPolla-2003-591-140	140	heaven	1565	HEAVEN	3	heaven	mutu
LaPolla-2003-591-141	141	Tugantʂu			3	Tugantʂu	tugantʂu
LaPolla-2003-591-142	142	truly			6	truly	ʁɑt // ʁɑtɕhi
LaPolla-2003-591-143	143	hit	1433	HIT	3	hit	zde
LaPolla-2003-591-144	144	soldier	1941	SOLDIER	3	soldier	gueʴ
LaPolla-2003-591-145	145	behind	1686	BEHIND	13	behind	steke // wəstɑ
LaPolla-2003-591-146	146	grow	479	GROW	4	grow	phi // ʂ
LaPolla-2003-591-147	147	house	1252	HOUSE	4	house	tɕi // tɕiʁuɑ
LaPolla-2003-591-148	148	next	1354	NEXT	3	next	meʴʂ
LaPolla-2003-591-149	149	mother	1216	MOTHER	6	mother	ew // mɑ // əw
LaPolla-2003-591-150	150	little	1246	SMALL	6	little	zə // ɕi
LaPolla-2003-591-151	151	half catty			3	half.catty	pɑntɕin
LaPolla-2003-591-152	152	tomorrow	1329	TOMORROW	5	tomorrow	soqho // təp
LaPolla-2003-591-153	153	oink oink			3	oink.oink	ɦə̃ʴɦə̃ʴ
LaPolla-2003-591-154	154	older sister	1758	OLDER SISTER	11	older.sister	phɑwu // sawu
LaPolla-2003-591-155	155	monk’s robe			9	monk’s.robe	jin // jən
LaPolla-2003-591-156	156	one pile			3	DEF:one:pile	lɑw
LaPolla-2003-591-157	157	rest	168	REST	3	rest	ʑdʑ
LaPolla-2003-591-158	158	spin	121	SPIN	3	spin	lde
LaPolla-2003-591-159	159	change	1264	CHANGE	7	change	l̥əlɑ // pian // piɑn
LaPolla-2003-591-160	160	answer	1275	ANSWER	3	answer	ʐgue
LaPolla-2003-591-161	161	morning	1339	MORNING	3	morning	otsůquɑ
LaPolla-2003-591-162	162	is possible			3	†(is.possible)	khuoji
LaPolla-2003-591-163	163	sit	1416	SIT	7	sit	dzu // zu // zů
LaPolla-2003-591-164	164	Mutsitʂu			3	Mutsitʂu	mutsitʂu
LaPolla-2003-591-165	165	notify			4	notify // †notify	thontʂə // thuntʂə
LaPolla-2003-591-166	166	shot			3	shot	phɑu
LaPolla-2003-591-167	167	steal	713	STEAL	4	steal	χquatʂ // χquɑtʂ
LaPolla-2003-591-168	168	China fir			3	China.fir	lu
LaPolla-2003-591-169	169	girl	1646	GIRL	3	girl	tsi
LaPolla-2003-591-170	170	anything			3	anything	iɣi
LaPolla-2003-591-171	171	one family			4	DEF:one:family // one:family	louqpi // oqpi
LaPolla-2003-591-172	172	say	1458	SAY	156	say	dʑe // dʑi // ji // jə
LaPolla-2003-591-173	173	notice (noun)	2893	NOTICE (SOMETHING)	3	notice(n.)	ȵim
LaPolla-2003-591-174	174	sell	1571	SELL	3	sell	χuɑ
LaPolla-2003-591-175	175	take out			3	take.out	xtʂe
LaPolla-2003-591-176	176	(sound of chicken)			3	(sound.of.chicken)	qutaq
LaPolla-2003-591-177	177	fast	1631	FAST	8	fast	ataʐ // ataʐə // jəsai // khuɑi // uɬu
LaPolla-2003-591-178	178	walk	1443	WALK	3	walk	sei
LaPolla-2003-591-179	179	sheep wool			3	sheep.wool	ȵiu
LaPolla-2003-591-180	180	child	2099	CHILD	2	child	tɕymi
LaPolla-2003-591-181	181	floor	1632	FLOOR	2	floor	dʑiq
LaPolla-2003-591-182	182	cut	1432	CUT	3	cut	tuɑ // x
LaPolla-2003-591-183	183	may	972	BE ABLE	2	may	ʁu
LaPolla-2003-591-184	184	represent			2	represent	tʂi
LaPolla-2003-591-185	185	younger brother	1760	YOUNGER BROTHER	2	younger.brother	tutʂ
LaPolla-2003-591-186	186	stone mortar			3	stone.mortar	jankhui // jɑnkhui
LaPolla-2003-591-187	187	thing	738	THING	6	thing	pɑnɑ // pɑnə // ʐɑ // ʐə
LaPolla-2003-591-188	188	inside	1606	INSIDE	13	inside	ků // tɕiq // tɕiquɑ // ʐɑχuɑ
LaPolla-2003-591-189	189	most	1198	MANY	2	most	tɕi
LaPolla-2003-591-190	190	exist [1sg]		!EXIST	2	exist:1sg	ʐa
LaPolla-2003-591-191	191	song	1096	SONG	2	song	zəm
LaPolla-2003-591-192	192	people	789	PEOPLE	2	people	mi
LaPolla-2003-591-193	193	blood	946	BLOOD	3	blood	sɑ // sɑq
LaPolla-2003-591-194	194	chicken	1318	CHICKEN	2	chicken	tɕy
LaPolla-2003-591-195	195	jump	1829	JUMP	2	jump	χsu
LaPolla-2003-591-196	196	explode			2	explode	ʂp
LaPolla-2003-591-197	197	be last	1529	LAST (FINAL)	2	be.last	xʂə
LaPolla-2003-591-198	198	not as good as			2	not.as.good.as	qəstɑ
LaPolla-2003-591-199	199	heart	1223	HEART	7	heart	ɕtɕi: // ɕtɕi:mi // ɕtɕi:miq // ɕtɕɑq
LaPolla-2003-591-200	200	be hungry	1533	BE HUNGRY	2	be.hungry	ʂue
LaPolla-2003-591-201	201	sisters	1263	SISTER	2	sisters	tsisatʂů
LaPolla-2003-591-202	202	very	1311	VERY	5	very	gən // kən // wa
LaPolla-2003-591-203	203	meet	1831	MEET	2	meet	tsu
LaPolla-2003-591-204	204	livestock	631	LIVESTOCK	2	livestock	poquʂ
LaPolla-2003-591-205	205	wild animals	958	WILD ANIMAL	2	wild.animals	phuxʂu
LaPolla-2003-591-206	206	clothing	1895	CLOTHES	4	clothing	fɑ // phusuluq
LaPolla-2003-591-207	207	as it happens			2	as.it.happens	qhuɑt
LaPolla-2003-591-208	208	Mupitha			2	Mupitha	mupithɑ
LaPolla-2003-591-209	209	cowpen			2	cowpen	tɕaʁa
LaPolla-2003-591-210	210	big	1202	BIG	2	big	ba
LaPolla-2003-591-211	211	like	1117	LIKE	2	like	topu
LaPolla-2003-591-212	212	strangle (noun)			2	strangle(n.)	gəz
LaPolla-2003-591-213	213	daughter	1357	DAUGHTER	2	daugher	tsi
LaPolla-2003-591-214	214	stab	1434	STAB	2	stab	tʂə
LaPolla-2003-591-215	215	bump into			2	bump.into	tʂetup
LaPolla-2003-591-216	216	time	892	TIME	47	time // †time	i // thən // tɑu // ʁza // ʁza: // ʂ // ʂə // ʂətɕian // ʂətɕiɑn // χui
LaPolla-2003-591-217	217	lift	501	LIFT	4	lift	qe // tsi
LaPolla-2003-591-218	218	cliff cave			2	cliff.cave	tuŋtuŋ
LaPolla-2003-591-219	219	name	1405	NAME	2	name	ʐmə
LaPolla-2003-591-220	220	date			2	date	zət
LaPolla-2003-591-221	221	immediately	1963	IMMEDIATELY	2	immediately	kəntɑu
LaPolla-2003-591-222	222	short	1645	SHORT	2	short	gi
LaPolla-2003-591-223	223	finish	1766	FINISH	2	finish	s
LaPolla-2003-591-224	224	four	1500	FOUR	2	four	ɣʐə
LaPolla-2003-591-225	225	bird	937	BIRD	2	bird	wətshi
LaPolla-2003-591-226	226	pile	1576	PILE UP	2	pile	w
LaPolla-2003-591-227	227	roll	827	ROLL	2	roll	ɣlu
LaPolla-2003-591-228	228	this one			21	this:one // this:one:CL	tsou // tsɑ
LaPolla-2003-591-229	229	sow	748	SOW SEEDS	2	sow	se
LaPolla-2003-591-230	230	be possible			2	†(be.possible)	khuoji
LaPolla-2003-591-231	231	count	1420	COUNT	3	count	ʂe // ʂə
LaPolla-2003-591-232	232	consider	1415	THINK (REFLECT)	2	consider	sun
LaPolla-2003-591-233	233	pig	1337	PIG	2	pig	pie
LaPolla-2003-591-234	234	ought [1pl]	971	MUST	2	ought:1pl	qaʴ
LaPolla-2003-591-235	235	wait	1590	WAIT (FOR)	2	wait	zu
LaPolla-2003-591-236	236	father	1217	FATHER	29	father	ep // epə // tɑtə // ɑpə
LaPolla-2003-591-237	237	market	633	MARKET	5	market	tʂhaq // tʂhɑq // tʂhə
LaPolla-2003-591-238	238	one kind			2	DEF:one:kind	lɑχ
LaPolla-2003-591-239	239	fit			2	fit	χoʂu
LaPolla-2003-591-240	240	fight	1423	FIGHT	9	fight	quɑ // quɑq // quəqua // quəquɑ
LaPolla-2003-591-241	241	thief	1160	THIEF	2	thief	ʂku
LaPolla-2003-591-242	242	already	2576	ALREADY	2	†(already)	jitɕin
LaPolla-2003-591-243	243	message	2961	MESSAGE	2	message	phə
LaPolla-2003-591-244	244	plant	653	PLANT (VEGETATION)	3	plant	phi // ɸi
LaPolla-2003-591-245	245	arrange	1568	ARRANGE	2	arrange	gɑnphai
LaPolla-2003-591-246	246	guest	1782	GUEST	2	guest	dʐu
LaPolla-2003-591-247	247	recover	1978	RECOVER	2	recover	xʂu
LaPolla-2003-591-248	248	Momo (steamed bread)			2	momo(steamed.bread)	qhɑl
LaPolla-2003-591-249	249	stop	2880	HALT (STOP)	3	stop	tɕ // χə
LaPolla-2003-591-250	250	pound	354	POUND	2	pound	tɕite
LaPolla-2003-591-251	251	blow (burn)			2	blow(burn)	phə
LaPolla-2003-591-252	252	pack	1679	LOAD	2	pack	le
LaPolla-2003-591-253	253	push	1452	PUSH	2	push	ɕtɕi
LaPolla-2003-591-254	254	thousand	1843	THOUSAND	2	thousand	stu
LaPolla-2003-591-255	255	difficult	584	DIFFICULT	3	difficult	ʂqu // χqu
LaPolla-2003-591-256	256	cross	1367	CROSS	4	cross // cross:PRS	χlɑ // χɬɑ // χɬɑ:
LaPolla-2003-591-257	257	take	1749	TAKE	2	take	kue
LaPolla-2003-591-258	258	street edge			2	†street.edge	kaijuɑn
LaPolla-2003-591-259	259	chase	1047	PURSUE	2	chase	dzɑ
LaPolla-2003-591-260	260	carry on back	465	CARRY ON BACK	2	carry.on.back	bi
LaPolla-2003-591-261	261	food	256	FOOD	2	food	stuɑhɑ
LaPolla-2003-591-262	262	sound	1811	SOUND OR NOISE	2	sound	sɑ
LaPolla-2003-591-263	263	help	1897	HELP	2	help	wutʂhu
LaPolla-2003-591-264	264	this person			2	†(this.person)	tʂekəʐənla
LaPolla-2003-591-265	265	affair	2214	AFFAIR	2	affair	ʐə
LaPolla-2003-591-266	266	die [1sg]	1494	DIE	2	die:1sg	ʂa
LaPolla-2003-591-267	267	top	1753	TOP	10	top	məq // q // qu // quə // qə
LaPolla-2003-591-268	268	high	1265	HIGH	2	high	wi
LaPolla-2003-591-269	269	bushel			2	bushel	quɑt
LaPolla-2003-591-270	270	thirsty	847	THIRSTY	2	thirsty	ɕpi
LaPolla-2003-591-271	271	move	765	MOVE	2	move	quq
LaPolla-2003-591-272	272	think	1415	THINK (REFLECT)	2	think	ʐbotɕu
LaPolla-2003-591-273	273	day	1225	DAY (NOT NIGHT)	39	day	s // sə
LaPolla-2003-591-274	274	basketful			2	basketful	g̥u̥ə
LaPolla-2003-591-275	275	rope	1218	ROPE	2	rope	xʂul
LaPolla-2003-591-276	276	driping			2	driping	tuetue
LaPolla-2003-591-277	277	peck			2	peck	tshuɑq
LaPolla-2003-591-278	278	anyway is			2	†(anyway.is)	fɑntʂənʂə
LaPolla-2003-591-279	279	prepare	2909	PREPARE	2	prepare	qəʑdʑi
LaPolla-2003-591-280	280	home	2406	HOME	11	home	tɕiu // tɕəu
LaPolla-2003-591-281	281	set	160	SET (HEAVENLY BODIES)	2	set	tin
LaPolla-2003-591-282	282	be afraid	1419	FEAR (BE AFRAID)	2	be.afraid	qu
LaPolla-2003-591-283	283	demand			2	demand	jɑutɕhiu
LaPolla-2003-591-284	284	stone slab			3	stone.slab // †stone.slab	ʂəpan // ʂəpɑn
LaPolla-2003-591-285	285	give	1447	GIVE	7	give	ke // l // le
LaPolla-2003-591-286	286	wash	1453	WASH	2	wash	χuəlɑ
LaPolla-2003-591-287	287	older sister	1758	OLDER SISTER	2	oldr.sistr	sawu
LaPolla-2003-591-288	288	make (friends) [1pl]		!MAKE (FRIENDS)	2	make(friends):1pl	seʴ
LaPolla-2003-591-289	289	stay or live	363	DWELL (LIVE, RESIDE)	2	stay/live	wəi
LaPolla-2003-591-290	290	ball	1845	BALL	2	ball	pɑtʂ
LaPolla-2003-591-291	291	village	930	VILLAGE	3	village	tshin // tshɑ
LaPolla-2003-591-292	292	open	1156	OPEN	3	open	qheʴ // qhəʴqhəʴ // ʐge
LaPolla-2003-591-293	293	divine (verb)			1	divine(v.)	suɑ
LaPolla-2003-591-294	294	meeting		!MEETING	1	meeeting	ʐmu
LaPolla-2003-591-295	295	eat	1336	EAT	28	eat // eat:PRS	dze // dzi // dzɑ: // dzə // tɕhə // zə
LaPolla-2003-591-296	296	grope for			1	grope.for	mo
LaPolla-2003-591-297	297	monk’s robe			1	monk’s.robe113	dzin
LaPolla-2003-591-298	298	cave	1155	CAVE	5	cave	tuŋtuŋ // ʐo:pu // ʐo:puɑ // ʐo:pɑ
LaPolla-2003-591-299	299	water (river)	948	WATER	1	water(river)	tsə
LaPolla-2003-591-300	300	bring	692	BRING	6	bring	le // lie // tɕhi // ʐ
