ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS
LaPolla-2003-591-301	301	rice or food	1191	COOKED RICE	1	rice/food	stuɑhɑ
LaPolla-2003-591-302	302	jointly			1	jointly	kənti
LaPolla-2003-591-303	303	return	581	COME BACK	1	return	pə
LaPolla-2003-591-304	304	reach out	214	STRETCH	1	reach.out	tʂhu
LaPolla-2003-591-305	305	upper part	1753	TOP	1	upper.part	guχu
LaPolla-2003-591-306	306	see	1409	SEE	11	see	l // tse // tɕu
LaPolla-2003-591-307	307	host (feed)	1545	HOST	4	host/feed	ɕtɕ // ɕtɕə
LaPolla-2003-591-308	308	forest	420	FOREST	1	forest	phu
LaPolla-2003-591-309	309	wild prickly ash			1	wild.prickly.ash	wətshəi
LaPolla-2003-591-310	310	raise (child)	2134	RAISE (A CHILD)	1	raise(child)	peʴʐə
LaPolla-2003-591-311	311	cry	1839	CRY	1	cry,	zei
LaPolla-2003-591-312	312	call [1pl]	1084	CALL	2	call:1pl	ʂpe:ʴ // ʂpəʴ
LaPolla-2003-591-313	313	sun	1343	SUN	1	sun	mujuqů
LaPolla-2003-591-314	314	come [1pl]	1446	COME	3	come:1pl	leʴ // ləʴ
LaPolla-2003-591-315	315	stone	857	STONE	1	stone	ʐɑwɑ
LaPolla-2003-591-316	316	flower (flower|come)	239	FLOWER	1	flower|come	lu
LaPolla-2003-591-317	317	story	2060	STORY	1	story	məʴʂ
LaPolla-2003-591-318	318	marry	203	MARRY	2	marry	tsəusə // ɣʐə
LaPolla-2003-591-319	319	least amount			1	†(least.amount)	afəʴali
LaPolla-2003-591-320	320	a few	1242	FEW	1	a.few	əzzi
LaPolla-2003-591-321	321	think or want	2271	THINK	9	think/want	kɑntɕhi // kɑntɕi:
LaPolla-2003-591-322	322	bite	1403	BITE	1	bite	ʁdʐe
LaPolla-2003-591-323	323	retaliation			1	retaliation	pɑufu
LaPolla-2003-591-324	324	a kind of thing			1	a.kind.of.thing	ʂkupu
LaPolla-2003-591-325	325	above	1741	ABOVE	1	above	məq
LaPolla-2003-591-326	326	feed	739	FEED	1	feed	ɕtɕ
LaPolla-2003-591-327	327	club	1763	CLUB	1	club	kɑntɕhi
LaPolla-2003-591-328	328	father (god)	1217	FATHER	1	father(god)	ɑpə
LaPolla-2003-591-329	329	able	972	BE ABLE	32	able	dʐə // l // lə // the // ɣʐə
LaPolla-2003-591-330	330	set out			3	set.out	jy // ɣz // ɣzə
LaPolla-2003-591-331	331	one pile			1	DEF:one.pile	lɑw
LaPolla-2003-591-332	332	feast			1	feast106	dʑel
LaPolla-2003-591-333	333	long ago	373	LONG AGO	1	long.ago	qeʴ
LaPolla-2003-591-334	334	kind	583	KIND OR POLITE	1	kind)	jɑn
LaPolla-2003-591-335	335	divine			2	divine	suɑ // suəsuɑ
LaPolla-2003-591-336	336	stick	1295	STICK	2	stick	jə // wet
LaPolla-2003-591-337	337	empty handed			1	empty.handed	xʂuɕtɕu
LaPolla-2003-591-338	338	weigh	1098	WEIGH	1	weigh	tʂhə
LaPolla-2003-591-339	339	unclefls			1	unclefls	entɕi
LaPolla-2003-591-340	340	place	723	PLACE (POSITION)	7	place	fən // ʂpɑ // ʂpɑq // ʂpəq
LaPolla-2003-591-341	341	black	163	BLACK	1	black	χtʂɑp
LaPolla-2003-591-342	342	stand	1442	STAND	6	stand	jů // tɕhi
LaPolla-2003-591-343	343	like (as)	1558	SIMILAR	1	like/as	ʂpɑʂpɑ
LaPolla-2003-591-344	344	man	1554	MAN	1	man	tʂi
LaPolla-2003-591-345	345	humankind			1	humankind	ʐmə
LaPolla-2003-591-346	346	big teeth			1	big.teeth	dzə
LaPolla-2003-591-347	347	Qianmen [INT]			1	Qianmen|INT	ɦɑ
LaPolla-2003-591-348	348	as a result			1	as.a.result	thəpɑktɑ
LaPolla-2003-591-349	349	face to face			1	face.to.face	dʐə
LaPolla-2003-591-350	350	scythe	20	SCYTHE	1	scythe	duɑʁl
LaPolla-2003-591-351	351	thing	738	THING	1	thing)	sə
LaPolla-2003-591-352	352	mama		!MAMA	1	Mama	mɑ:
LaPolla-2003-591-353	353	higher			1	higher)	kɑulɑ
LaPolla-2003-591-354	354	house (temple)	1252	HOUSE	1	house(temple)	tɕi
LaPolla-2003-591-355	355	night	1233	NIGHT	18	night	gəs // jə // maha
LaPolla-2003-591-356	356	cure	499	CURE	1	cure	tʂhup
LaPolla-2003-591-357	357	cliff	992	CLIFF	1	cliff	jopu
LaPolla-2003-591-358	358	break	680	BREAK (DESTROY OR GET DESTROYED)	1	break	g
LaPolla-2003-591-359	359	foot	1301	FOOT	1	foot	kuə
LaPolla-2003-591-360	360	few	1242	FEW	3	few	jin // tɕi // χsɑ
LaPolla-2003-591-361	361	? (rght)			1	ʴght	quɑ
LaPolla-2003-591-362	362	last	1529	LAST (FINAL)	1	last	xʂə
LaPolla-2003-591-363	363	catty	2647	CATTY (MASS UNIT)	1	catty	tɕ
LaPolla-2003-591-364	364	make	734	MAKE	4	make	bəl // bələ // se
LaPolla-2003-591-365	365	really	509	CERTAIN	2	really // †really	tʂentʂen // ʁɑtɕhi
LaPolla-2003-591-366	366	manage	3073	MANAGE	2	manage	kuɑn // pɑn
LaPolla-2003-591-367	367	tunnel			2	tunnel // †tunnel	titɑu
LaPolla-2003-591-368	368	Han person			1	Han.person	ʁəʴ
LaPolla-2003-591-369	369	while	726	WHILE	1	while	ʂ
LaPolla-2003-591-370	370	encounter	1831	MEET	1	encouter	tsu
LaPolla-2003-591-371	371	correct	1725	CORRECT (RIGHT)	1	correct	pe
LaPolla-2003-591-372	372	(birdcall)			1	(birdcall)	ɕtɕeʴpɕtɕeʴp
LaPolla-2003-591-373	373	kind (kinds)	844	KIND (THING)	1	kinds	hɑn
LaPolla-2003-591-374	374	when	1238	WHEN	1	when	ʁza
LaPolla-2003-591-375	375	that family			1	that:family	thoqpi
LaPolla-2003-591-376	376	say [1pl]	1458	SAY	1	say:1pl	dʑe:ʴ
LaPolla-2003-591-377	377	seek [1pl]	1468	LOOK FOR	1	seek:1pl	meʴʐe:ʴ
LaPolla-2003-591-378	378	frighten	252	FRIGHTEN	1	frighten	doqu
LaPolla-2003-591-379	379	fate (destiny)	1688	FATE	1	fate/destiny	lez
LaPolla-2003-591-380	380	build	1840	BUILD	1	build	ɬi
LaPolla-2003-591-381	381	arrive	1387	ARRIVE	19	arrive	pə // tɑulə
LaPolla-2003-591-382	382	in the past			1	in.the.past	qeʴlotʂu
LaPolla-2003-591-383	383	below	1485	BELOW OR UNDER	2	below	ʂqə // ʂqəl
LaPolla-2003-591-384	384	root	670	ROOT	1	root	kopu
LaPolla-2003-591-385	385	month	1370	MONTH	2	month	jue // ɕ
LaPolla-2003-591-386	386	get dark			7	get.dark // get.dark:PRS	xtʂə // xtʂəp // xtʂəpɑ:
LaPolla-2003-591-387	387	too			1	too	ʂ
LaPolla-2003-591-388	388	shoot	1172	SHOOT	5	shoot // †shoot	qhu // tɕhanpi // tɕhɑnpi
LaPolla-2003-591-389	389	same way			1	same.way	ʂpaʂpa
LaPolla-2003-591-390	390	small	1246	SMALL	6	small	ɕa // ɕi // χtʂɑ
LaPolla-2003-591-391	391	tie	1917	TIE	1	tie	χʂə
LaPolla-2003-591-392	392	agree on	1568	ARRANGE	1	agree.on	tin
LaPolla-2003-591-393	393	gate	2940	GATE	1	gate	men
LaPolla-2003-591-394	394	mouthful	2728	MOUTHFUL (CLASSIFIER)	1	mouthful	qu
LaPolla-2003-591-395	395	restaurant			2	restaurant	kuɑntsɑ // kuɑntsə
LaPolla-2003-591-396	396	ten	1515	TEN	2	ten	hodʑy // hotɕu
LaPolla-2003-591-397	397	disaster	56	BAD LUCK	1	disaster	ʂkupɑ
LaPolla-2003-591-398	398	eleven	1706	ELEVEN	1	eleven	hatʂi
LaPolla-2003-591-399	399	sing	1261	SING	1	sing	tshuə
LaPolla-2003-591-400	400	angry	1826	ANGRY	1	angry	khueq
LaPolla-2003-591-401	401	you two [2dl]	2111	YOU TWO	1	2dl	ʔizzi
LaPolla-2003-591-402	402	white beard (cat)			1	†white.beard(cat)	pefutsə
LaPolla-2003-591-403	403	help up			1	help.up124	fusɑn
LaPolla-2003-591-404	404	remember	707	REMEMBER	1	remember	tʂequɑ
LaPolla-2003-591-405	405	all	98	ALL	10	AMP119:all // NOM:all // all	le:ʴwu // meʴwu // mə:ʴwu // neʴwu // tɕeʴwu // wu
LaPolla-2003-591-406	406	thus	3413	IN THIS WAY	91	COM:thus // thus	ike // ikə // ke // kə // ȵike
LaPolla-2003-591-407	407	chop	3151	CUT (WITH AXE)	1	chop	xte
LaPolla-2003-591-408	408	still is			1	†(still)	χaisə
LaPolla-2003-591-409	409	face	1560	FACE	3	face	quaha // quɑha
LaPolla-2003-591-410	410	lack	2329	LACK (NOT HAVE)	1	lack	tʂhə
LaPolla-2003-591-411	411	step on	575	TREAD	2	step.on	tʂhue // tʂßhue
LaPolla-2003-591-412	412	loss			1	loss	sunʂə
LaPolla-2003-591-413	413	these people			1	these.people	tsəzzi
LaPolla-2003-591-414	414	broken	588	BROKEN	1	broken	g
LaPolla-2003-591-415	415	flat area on side of hill			1	flat.area.on.side.of.hill	bɑ
LaPolla-2003-591-416	416	suck	1421	SUCK	1	suck	tʂhe107
LaPolla-2003-591-417	417	is	1579	BE	1	†(is)	iʂə
LaPolla-2003-591-418	418	discuss			7	discuss // †discuss	dʐi // dʑe // thɑuluɑn // wu // ʂəȵi
LaPolla-2003-591-419	419	years	1226	YEAR	1	years	p
LaPolla-2003-591-420	420	very many			1	very(many)	kən
LaPolla-2003-591-421	421	expensive	1426	EXPENSIVE	1	expensive	phulu
LaPolla-2003-591-422	422	must	971	MUST	3	must	ʁza: // ʁze
LaPolla-2003-591-423	423	this manner			1	this:manner	tsəi
LaPolla-2003-591-424	424	exist (all)	1460	!EXIST	2	exist:REDUP:all	ʂəʂe:ʴwu // ʂəʂə:ʴwu
LaPolla-2003-591-425	425	younger sister	1761	YOUNGER SISTER	14	younger.sister	satʂu // satʂů // ɣlu
LaPolla-2003-591-426	426	ordinary citizens			2	†ordinary.citizens	lɑupeɕi // lɑupeɕin
LaPolla-2003-591-427	427	river valley			1	river.valley	qhuɑ:
LaPolla-2003-591-428	428	buy [1pl]	1869	BUY	1	buy:1pl	pəʴ
LaPolla-2003-591-429	429	we [1pl]	1212	WE	23	1pl // CAUS:PRS:1pl // COP:1pl // PRS:1pl // |COP:1pl	tɕile // ŋueʴ // ɑ:ʴ // ʐɑ:? // ʔile
LaPolla-2003-591-430	430	medicine	1372	MEDICINE	1	medicine	sipe
LaPolla-2003-591-431	431	even more			1	†even.more	kənʂə
LaPolla-2003-591-432	432	come [1p]	1446	COME	1	come:1p	ləʴ
LaPolla-2003-591-433	433	that	78	THAT	15	that	the // thɑ // thə // ɦɑlɑ
LaPolla-2003-591-434	434	pl			13	pl	hɑ // ɣle // ɣlə
LaPolla-2003-591-435	435	cut down	355	CUT DOWN	1	cut.down	xte
LaPolla-2003-591-436	436	thought (noun)	2975	THOUGHT	1	thought(n.)	ɕtɕů
LaPolla-2003-591-437	437	eye	1248	EYE	2	eye	mi: // miɑuʁdʐue
LaPolla-2003-591-438	438	you [2pl]	1213	YOU	17	2pl	i // j // ji // tɕile // ʔile
LaPolla-2003-591-439	439	flee	956	FLEE	1	flee	fu
LaPolla-2003-591-440	440	white beard			1	white.beard	pefutsə
LaPolla-2003-591-441	441	together	2482	TOGETHER	4	together	iɕtɕi // ȵiɑntɕi // ɑŋ̥u̥ə
LaPolla-2003-591-442	442	what kind			1	WH.kind	ȵi:tsəi
LaPolla-2003-591-443	443	send [1sg]	1127	SEND	1	send:1sg	ɕa
LaPolla-2003-591-444	444	vertically			1	vertically	tʂhɑtʂ
LaPolla-2003-591-445	445	orphan	1149	ORPHAN	15	orphan	kɑpətttʂ // kɑpətʂ
LaPolla-2003-591-446	446	drive ahead			1	drive.ahead	wɑʁ
LaPolla-2003-591-447	447	allow	1003	PERMIT	13	allow	se // si // si?
LaPolla-2003-591-448	448	reveal			1	reveal	qe
LaPolla-2003-591-449	449	set fire			1	set.fire	ʂue
LaPolla-2003-591-450	450	alone	1964	ALONE	1	alone	stu
LaPolla-2003-591-451	451	slip	1324	SLIP	1	slip	ɬɑ
LaPolla-2003-591-452	452	know	1410	KNOW (SOMETHING)	1	know	n
LaPolla-2003-591-453	453	look	1819	LOOK	15	look	l // lə // tse
LaPolla-2003-591-454	454	grain	605	GRAIN	1	grain	ʐguə
LaPolla-2003-591-455	455	throw (away)	1456	THROW	1	throw(away)	ʁů
LaPolla-2003-591-456	456	center	491	CENTER	1	center	ʐeků
LaPolla-2003-591-457	457	birthday	2407	BIRTHDAY	4	birthday	shenʐə // sənʐə
LaPolla-2003-591-458	458	afraid	1419	FEAR (BE AFRAID)	12	afraid	qu // ququ
LaPolla-2003-591-459	459	grandfather	1383	GRANDFATHER	1	grandfather	ɑpə
LaPolla-2003-591-460	460	close	1046	SHUT	1	close	tʂə
LaPolla-2003-591-461	461	very long			1	very.long	ʂua:m
LaPolla-2003-591-462	462	low (short)	2484	SMALL (NOT TALL)	1	low(short)	gi
LaPolla-2003-591-463	463	you [2pl REFL]			1	2plREFL	ʔileile
LaPolla-2003-591-464	464	tree	906	TREE	5	tree	səɸ // səɸů // ɸu
LaPolla-2003-591-465	465	inanimate treasure			1	inanimate.treasure	tsəpɑu
LaPolla-2003-591-466	466	wash clean			1	wash.clean	ʂu
LaPolla-2003-591-467	467	eat [1sg]	1336	EAT	1	eat:1sg	dza
LaPolla-2003-591-468	468	front	2194	FRONT (PART)	1	front	putu
LaPolla-2003-591-469	469	turn over	1445	TURN (SOMETHING)	1	turn.over	qe
LaPolla-2003-591-470	470	redressed			1	†(redressed)	phinfanlɑ
LaPolla-2003-591-471	471	because	1157	BECAUSE	14	because	le // χuɑ
LaPolla-2003-591-472	472	appearance	1017	APPEARANCE	1	appearance	χupi
LaPolla-2003-591-473	473	smart	2530	SMART	1	smart	tshənpe
LaPolla-2003-591-474	474	release	1095	LET GO OR SET FREE	7	release	ɕe // ɕi // ʂ
LaPolla-2003-591-475	475	ram’s horn			1	ram’s.horn	ʁoʁu
LaPolla-2003-591-476	476	support			1	support	tʂhe
LaPolla-2003-591-477	477	courtyard	4	COURTYARD	2	courtyard	ʁuɑχɑ // ʐoʁu
LaPolla-2003-591-478	478	before	1882	BEFORE	16	before	qe:ʴ // qeʴ // qə:ʴ // tɕiqə:ʴ
LaPolla-2003-591-479	479	dig	1418	DIG	1	dig	xkue
LaPolla-2003-591-480	480	where	1237	WHERE	15	where // where:LOC	tɕɑ // tɕɑ: // tɕɑl
LaPolla-2003-591-481	481	jump (dance)	1829	JUMP	1	jump/dance	χsu
LaPolla-2003-591-482	482	cypress	3243	CYPRESS	1	cypress	zuɑmə
LaPolla-2003-591-483	483	cover	761	COVER	1	cover	que
LaPolla-2003-591-484	484	Chen			1	Chen	tshən
LaPolla-2003-591-485	485	find	719	FIND	19	find	tɕ // tɕi // tɕə
LaPolla-2003-591-486	486	if	1459	IF	11	if	ta // tu // wu // ʁɑ
LaPolla-2003-591-487	487	smoke	1689	SMOKE (INHALE)	1	smoke	mufů
LaPolla-2003-591-488	488	bold (daring)	91	INSOLENT	2	bold/daring // †bold/daring	tɑntɑ
LaPolla-2003-591-489	489	they [3pl REFL]		HE OR SHE	1	3plREFL	ȵile
LaPolla-2003-591-490	490	helper			1	helper	wutʂhu
LaPolla-2003-591-491	491	I [1sg]	1209	I	152	1sg // 1sg:PRS // ASP:1sg // CAUS:1sg // COP:1sg // CSM:1sg // INDTV:1sg // REP:1sg // VIS:1sg	guo // ja // jya // jyɑ // jɑ // lɑ // qɑ // ŋuɑ // ŋuɑ121 // ɑ // ɑ: // ʐɑ
LaPolla-2003-591-492	492	forget	1523	FORGET	1	forget	m
LaPolla-2003-591-493	493	land	626	LAND	1	land	zə
LaPolla-2003-591-494	494	hear	1408	HEAR	7	hear	m // mə // xʂuɕtɕu
LaPolla-2003-591-495	495	why	1270	WHY	1	why	ȵiχuɑ
LaPolla-2003-591-496	496	follow	1085	FOLLOW	2	follow	dzɑ // ʐə
LaPolla-2003-591-497	497	overturn			2	overturn	qhuɑ // quɑ
LaPolla-2003-591-498	498	separate or divide or leave	1359	SEPARATE	1	separate/divide/leave	qala
LaPolla-2003-591-499	499	buy	1869	BUY	2	buy // buy:PRS	p // pɑ:
LaPolla-2003-591-500	500	good	1035	GOOD	3	good	nɑ // nə // χɑu
LaPolla-2003-591-501	501	slow	701	SLOW	1	slow	akha
LaPolla-2003-591-502	502	traveling expenses			1	traveling.expenses	phɑntshə
LaPolla-2003-591-503	503	come (flow)	1446	COME	1	come(flow)	lu
LaPolla-2003-591-504	504	catch	702	CATCH	1	catch	ts̥əqɑ
LaPolla-2003-591-505	505	ride	367	RIDE	3	ride	qtʂi // qətʂi
LaPolla-2003-591-506	506	now	1376	NOW	5	now	pitɕ // pitɕi
LaPolla-2003-591-507	507	give as gift			1	give.as.gift	lu
LaPolla-2003-591-508	508	they two [3dl]	2635	THEY TWO	9	3dl	thizzi // thəzzi // ȵizzi
LaPolla-2003-591-509	509	take back			1	†(take.back)	lɑχuilai
LaPolla-2003-591-510	510	city	2547	CITY	1	city	ʁo
LaPolla-2003-591-511	511	little brother	1760	YOUNGER BROTHER	1	little.brother	tutʂu
LaPolla-2003-591-512	512	hundred	1634	HUNDRED	1	hundred	khe
LaPolla-2003-591-513	513	form			2	form	qes // qəs
LaPolla-2003-591-514	514	this two			2	this:two:CL	tsəizzi // tsəzzi
LaPolla-2003-591-515	515	this	1214	THIS	45	this // this:CL // †(this	tse // tse: // tsɑ // tsə // tʂekə
LaPolla-2003-591-516	516	flow	2003	FLOW	1	flow	phi
LaPolla-2003-591-517	517	magpie	2039	MAGPIE	4	magpie	ɕtɕiɕtɕaq // ɕtɕiɕtɕiɑq // ɕtɕiɕtɕɑq
LaPolla-2003-591-518	518	relatives	1644	RELATIVES	1	relatives	stumpətʂe120
LaPolla-2003-591-519	519	actually			1	†(actually	tɕiutɕin
LaPolla-2003-591-520	520	make sound			12	make.sound	s116 // sɑ // sɑ115 // sə
LaPolla-2003-591-521	521	among			1	among	χqa
LaPolla-2003-591-522	522	first demand			1	†(first.demand)	tijikuojautɕhiu
LaPolla-2003-591-523	523	close relatives			1	close.relatives	kuȵɑtsə
LaPolla-2003-591-524	524	see [1sg]	1409	SEE	1	see:1sg	tɕyɑ
LaPolla-2003-591-525	525	perhaps	2278	PERHAPS	1	perhaps	luo
LaPolla-2003-591-526	526	flower	239	FLOWER	2	flower	lɑmpə // lɑpɑ:
LaPolla-2003-591-527	527	they [3pl]	817	THEY	8	3pl	themle // tɕi // tɕə
LaPolla-2003-591-528	528	left over	987	REMAIN	1	left.over	ɣdu:
LaPolla-2003-591-529	529	older siser			1	older.siser	sawu
LaPolla-2003-591-530	530	assassin			1	†assassin	ʂɑʂəu
LaPolla-2003-591-531	531	one	1493	ONE	206	DEF:one // DEF:one:CL // INDEF:one // INDEF:one:CL // WH:one // one // one:CL	a // e // e: // i // ka: // kou // kɑ // la: // lo // lou // lɑ // lɑ: // lɑw // o // ou // ta: // tou // tɑ // ȵa // ȵe // ɑ // ɑz // ɕtɕəɕtɕɑq // ə
LaPolla-2003-591-532	532	thou [2sg]	1215	THOU	84	2sg // †(2sg	n // n122 // n? // un // ȵi // ən // ʔũ
LaPolla-2003-591-533	533	ground floor			1	ground.floor	tʂhə
LaPolla-2003-591-534	534	cat	1208	CAT	6	cat	məʴ // puȵi // puȵu
LaPolla-2003-591-535	535	heart (mind)	1223	HEART	1	heart/mind	ɕtɕi
LaPolla-2003-591-536	536	capable			1	capable	khunpe
LaPolla-2003-591-537	537	throw	1456	THROW	6	throw	ʁu // ʁů
LaPolla-2003-591-538	538	found	719	FIND	1	†(found)	tʂɑutɑulɑ
LaPolla-2003-591-539	539	dispute			1	dispute	tshenʂə
LaPolla-2003-591-540	540	stick or be caught	254	STICKING	1	stick/be.caught	jə
LaPolla-2003-591-541	541	time (when)	892	TIME	1	time/when)	ʂəχəu
LaPolla-2003-591-542	542	each	3416	EVERY (EACH)	3	each	mɑqɑ // məqɑ // ȵutɕuku
LaPolla-2003-591-543	543	twelve years old			1	†(twelve.years.old)	ʂəʔəʴsui
LaPolla-2003-591-544	544	sick	1847	SICK	5	sick	ʑdʑi // ʑdʑi?
LaPolla-2003-591-545	545	stand up	570	STAND UP	1	stand.up	tsu
LaPolla-2003-591-546	546	pair	1888	PAIR	1	pair	tue
LaPolla-2003-591-547	547	also recalled a little			1	†(also.recalled.a.little)	χaiʂəχuijələjitian
LaPolla-2003-591-548	548	charcoal	1188	CHARCOAL	4	charcoal // †charcoal	kɑnthɑn // mudʑu
LaPolla-2003-591-549	549	twelve	1707	TWELVE	1	twelve	hani
LaPolla-2003-591-550	550	trip			1	trip	thɑn
LaPolla-2003-591-551	551	hide	602	HIDE (CONCEAL)	6	hide	pi // ʂuə
LaPolla-2003-591-552	552	sit	1416	SIT	1	sit)	tsuo
LaPolla-2003-591-553	553	divine (the future)			1	divine(the.future)	suəsuɑ
LaPolla-2003-591-554	554	catch	702	CATCH	1	†(catch)	tɑitɑulɑ
LaPolla-2003-591-555	555	wrong	1390	WRONG	1	wrong	tshe
LaPolla-2003-591-556	556	put (place)	998	PUT	1	put/place	ʂə
LaPolla-2003-591-557	557	ought [1sg]	971	MUST	1	ought:1sg	ʁza
LaPolla-2003-591-558	558	plank stairs			1	plank.stair	buzd
LaPolla-2003-591-559	559	GEN (goal)			1	GEN(goal)	tɕ
LaPolla-2003-591-560	560	LNK (after)			1	LNK(after)	pɑqtɑ
LaPolla-2003-591-561	561	nine	1483	NINE	1	nine	ʐguə
LaPolla-2003-591-562	562	seat	1476	CHAIR	1	seat	luq
LaPolla-2003-591-563	563	save	2008	RESCUE	1	save	tɕəu
LaPolla-2003-591-564	564	nearly dead			1	nearly.dead	ȵisues
LaPolla-2003-591-565	565	wing	1257	WING	1	wing	ɣzəifɑ
LaPolla-2003-591-566	566	pitiful	1674	POOR	2	pitiful	meʴx // meʴχ
LaPolla-2003-591-567	567	yak	2477	YAK	1	yak	ʐbə
LaPolla-2003-591-568	568	capture	702	CATCH	2	capture // †capture	taipu // ts̥əqɑ
LaPolla-2003-591-569	569	pretend			2	pretend	ʂpaqtɑ // ʂpɑqtɑ
LaPolla-2003-591-570	570	escape	1615	ESCAPE	1	escape	χlu
LaPolla-2003-591-571	571	spring water			1	spring.water	χqɑtsəimi
LaPolla-2003-591-572	572	matter (affair)	2214	AFFAIR	1	matter/affair	ʐɑ
LaPolla-2003-591-573	573	few (all)	1242	FEW	2	few:all	χsaʴwu // χsəʴwu
LaPolla-2003-591-574	574	base	831	BASE	1	base	ku
LaPolla-2003-591-575	575	woman	962	WOMAN	1	woman	tsi
LaPolla-2003-591-576	576	lazy	1564	LAZY	1	laxy	lɑn
LaPolla-2003-591-577	577	then	2921	THEN	2	then // †(then	tɕiu // tɕiəu
LaPolla-2003-591-578	578	(onomatopoeia)			2	(onomatopoeia)	dzeke // tʂhəqtʂhɑqtʂhəqtʂhɑq
LaPolla-2003-591-579	579	back	1291	BACK	1	back	steke
LaPolla-2003-591-580	580	equal	1570	EQUAL	2	equal // †(equal	phin
LaPolla-2003-591-581	581	friend	1325	FRIEND	2	friend	gul // phənjəu
LaPolla-2003-591-582	582	earth	1228	EARTH (SOIL)	6	earth	zɑ // zəp // zəpəq
LaPolla-2003-591-583	583	crevice	2948	GAP (DISTANCE)	1	crevice	χanχa:
LaPolla-2003-591-584	584	old woman	907	OLD WOMAN	1	old.woman	qodu
LaPolla-2003-591-585	585	burn	2102	BURN	3	burn	se // tɕhəqhɑ // xtɕu
LaPolla-2003-591-586	586	wild creatures			1	wild.creatures	phuxʂu
LaPolla-2003-591-587	587	solved			1	solved)	tɕaitɕyelɑ
LaPolla-2003-591-588	588	reputation			1	†(reputation	minjy
LaPolla-2003-591-589	589	still is			1	†(still.is	χaiʂə
LaPolla-2003-591-590	590	good thing			1	†good.thing	χɑusə
LaPolla-2003-591-591	591	live	1422	BE ALIVE	1	live	jə
