ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
366	open	3	open	qheʴ // qhəʴqhəʴ // ʐge	tshəmɑ ɦa-xte-ȵi zə tə-ʐge,	thorn DIR-cut.down-ADV land DIR-open
367	humankind	1	humankind	ʐmə	ʐmə tɕhe-tɕ ʐguə i-ɸi-ji.	humankind want-GEN grain DIR-plant-CSM
368	grain	1	grain	ʐguə	ʐmə tɕhe-tɕ ʐguə i-ɸi-ji.	humankind want-GEN grain DIR-plant-CSM
369	orphan	15	orphan	kɑpətttʂ // kɑpətʂ	kɑpətttʂ kou qe:ʴ-qe:ʴ-tu ɦɑlɑ kɑpətʂ kou ŋuə-kei-tɕu,	orphan INDEF:one:CL before-before-LNK INT orphan INDEF:one:CL COP-NAR-PART
370	get dark	7	get.dark // get.dark:PRS	xtʂə // xtʂəp // xtʂəpɑ:	kɑpətʂ tou gəs-tɑ ɦɑ-xtʂə-pɑ:-jə-tu qu-kəpə-kəi-ʂ,	orphan DEF:one:CL night-LOC DIR-get.dark-become:PRS-REP-LNK ɦe-afraid-HABIT-NAR-LNK
371	when	1	when	ʁza	tɕəu-lɑ kə ʁza-ʁɑ,	home-LOC go when-LOC
372	alone	1	alone	stu	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
373	cry,	1	cry,	zei	tu ɦala ɦe-zei,	RESULT INT DIR-cry,
374	friend	2	friend	gul // phənjəu	“ʔũ-gul zu-lu-ɑ:-wɑ,”	2sg-friend DIR-come-1sg:PRS-EMPH
375	magpie	5	magpie	ɕtɕiɕtɕaq // ɕtɕiɕtɕiɑq // ɕtɕiɕtɕɑq // ɕtɕəɕtɕɑq	χaiʂə xsə ɕtɕiɕtɕiɑq tou-ȵɑ e-tʂepe-kə-jə-kei-tɕu,	†(still.is) new(again) magpie DEF:one:CL-COM DIR-encounter-go-REP-NAR-PART
376	live	1	live	jə	ʔũ-gul i-jə-lɑ-wɑ,”	2sg-companion DIR-live-INDTV:1sg-EMPH
377	few // all	2	few:all	χsaʴwu // χsəʴwu	kɑpətʂ tou-ŋuəȵi ɦɑ-tsɑ-χsaʴwu gul ɦe-se-kei-stu.	orphan DEF:one:CL-TOP INT-this:one-few:all companion DIR-make-NAR-PART
378	make	4	make	bəl // bələ // se	kɑpətʂ tou-ŋuəȵi ɦɑ-tsɑ-χsaʴwu gul ɦe-se-kei-stu.	orphan DEF:one:CL-TOP INT-this:one-few:all companion DIR-make-NAR-PART
379	exist // all	2	exist:REDUP:all	ʂəʂe:ʴwu // ʂəʂə:ʴwu	jɑnkhui ʂəʂə:ʴwu i-pə-l-kui-tɕu.	stone.mortar exist:REDUP:all DIR-arrive-come-NAR-PART
380	meeting	7	meeting	ʐmu // ʐmə	ʐmə ɑ-lɑ ɦo-tsu-kəi,	meeting one-CL DIR-hold-NAR
381	heart	7	heart	ɕtɕi: // ɕtɕi:mi // ɕtɕi:miq // ɕtɕɑq	kɑpətʂ tou-ŋuəȵi ɕtɕi:-ků kən ɦɑ-nə-kui,	orphan DEF:one:CL-TOP heart-inside very DIR-good-NAR
382	few	3	few	jin // tɕi // χsɑ	thɑ-χsɑ i-pə-l-ku-tu,	that:one-few DIR-arrive-come-NAR-LNK
383	beat to death	6	beat.to.death // beat.to.death:PRS	qəta: // qəti	tɕile pəmaha tse: qəta:-wa,”	2pl tonight this:CL beat.to.death:PRS-EMPH
384	together	4	together	iɕtɕi // ȵiɑntɕi // ɑŋ̥u̥ə	tu the-maha-ŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphai-tu-pů-kəi-stu,	RESULT that-night-TOP †(then) exist:REDUP:all together arrange-DIR-do-NAR-PART
385	this // manner	1	this:manner	tsəi	ɦɑ-tsəi gɑnphai-tu-pů-kəi-tɕu.	INT-this:manner arrange-DIR-do-NAR-PART
386	base	1	base	ku	jankhui-le:-ŋuəȵi buzd-le:-ku-tɑ ɦɑ-nə-kui-tɕu,	stone.mortar-DEF:CL-TOP plank.stairs-DEF:CL-base-LOC DIR-sleep-NAR-PART
387	like/as	1	like/as	ʂpɑʂpɑ	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART
388	(onomatopoeia)	2	(onomatopoeia)	dzeke // tʂhəqtʂhɑqtʂhəqtʂhɑq	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART
389	flow	1	flow	phi	χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,	needle-DEF:one-pl hand-DEF:CL-LOC DIR-stab-LNK(as.soon.as) blood-flow-INDEF:CL DIR-put-NAR-PART
390	grope for	1	grope.for	mo	ə-qɑ-ȵiɑufu kɑpətʂ-tou nəʂ-ta:-ʁa mo-thɑ-jə-kui,	DIR-go-LNK(as.soon.as) orphan-DEF:one:CL bed-DEF:CL-LOC grope.for-AUX-REP-NAR
391	black	1	black	χtʂɑp	χtʂɑp-ke: ŋuə-kui-ȵiɑu,	black-INDEF:CL COP-NAR-PART
392	set fire	1	set.fire	ʂue	mə-lɑw i-ʂue-ȵi ȵiɣi-lɑ-hɑ kə-ʐi,	fire-DEF:one:pile DIR-set.fire-ADV what-DEF:one-pl thus-exist
393	one pile	1	DEF:one.pile	lɑw	mə-lɑw da-qheʴ kɑntɕhi me-pe-ȵiɑufu,	fire-DEF:one.pile DIR-open think/want NEG-correct-LNK(as.soon.as)
394	correct	1	correct	pe	mə-lɑw da-qheʴ kɑntɕhi me-pe-ȵiɑufu,	fire-DEF:one.pile DIR-open think/want NEG-correct-LNK(as.soon.as)
395	reach out	1	reach.out	tʂhu	quaha χuəlɑ kɑntɕhi ʂuətʂhuɑ-la:-ʁa su-tʂhu,	face wash think/want water.jar-DEF:CL-LOC DIR-reach.out
396	step on	2	step.on	tʂhue // tʂßhue	χsutsqhɑ-la:-ʁa ɦe-tʂßhue,	stomach-DEF:CL-LOC DIR-step.on
397	slip	1	slip	ɬɑ	dɑ-ɬɑ buzd-le:-tɑ dʑiq ɦɑ-qə-i-stu.	DIR-slip plank.stairs-DEF:CL-LOC floor DIR-go-HS-PART
398	ground floor	1	ground.floor	tʂhə	dʑiq ɦɑ-qə-ȵiɑufu tʂhə-lɑ buzd-kuə-tɑ jɑnkhui-le:-ʐɑχuɑ ɦɑ-qɑ,	floor DIR-go-LNK(as.soon.as) ground.floor-LOC plank.stair-foot-LOC stone.mortar-DEF:CL-inside DIR-go
399	plank stair	1	plank.stair	buzd	dʑiq ɦɑ-qə-ȵiɑufu tʂhə-lɑ buzd-kuə-tɑ jɑnkhui-le:-ʐɑχuɑ ɦɑ-qɑ,	floor DIR-go-LNK(as.soon.as) ground.floor-LOC plank.stair-foot-LOC stone.mortar-DEF:CL-inside DIR-go
400	foot	1	foot	kuə	dʑiq ɦɑ-qə-ȵiɑufu tʂhə-lɑ buzd-kuə-tɑ jɑnkhui-le:-ʐɑχuɑ ɦɑ-qɑ,	floor DIR-go-LNK(as.soon.as) ground.floor-LOC plank.stair-foot-LOC stone.mortar-DEF:CL-inside DIR-go
401	ram’s horn	1	ram’s.horn	ʁoʁu	pəs-ŋuəȵi ʁoʁu lɑmpə lie-tu,	today-TOP ram’s.horn flower carry-LNK
402	flower	3	flower	lɑmpə // lɑntɕi // lɑpɑ:	pəs-ŋuəȵi ʁoʁu lɑmpə lie-tu,	today-TOP ram’s.horn flower carry-LNK
403	bring	6	bring	le // lie // tɕhi // ʐ	lie,	bring
404	broken	1	broken	g	qɑ-wu ʔũ-jɑpə-le: da-g-ʐɑ-wɑ,”	1sg-AGT 2sg-hand-DEF:CL DIR-broken-CAUS:1sg-EMPH
405	small	6	small	ɕa // ɕi // χtʂɑ	tsi tɕi-χtʂɑ-le:-ŋuəȵi,	daugher most-small-DEF:CL-TOP
406	break	1	break	g	ʔũ-jɑpə-le: da-g-ʐ̥ə-qəstɑ,	2sg-hand-DEF:CL DIR-break-CAUS-not.as.good.as
407	give as gift	1	give.as.gift	lu	ɦɑlɑ qhɑl a-g̥u̥ə u-lu-kui,	INT momo(steamed.bread) one-basketful DIR-give.as.gift-NAR
408	very long	1	very.long	ʂua:m	upu-bəs-te: tɕiqə:ʴ ʂua:m-ke: sei-k-kui,	uncle-snake-DEF:CL before very.long-INDEF:CL walk-go-NAR
409	crevice	1	crevice	χanχa:	qhaʴʁue-lɑw χanχa: ɦɑ-qə-tu,	stone.pile-DEF:one:CL crevice DIR-go-LNK
410	courtyard	2	courtyard	ʁuɑχɑ // ʐoʁu	ɦɑ-thu tsi-lou-ŋuəȵi ɦɑ ʁuɑχɑ-lɑ ɦe-zei ɦe-zei-ȵi thɑ ʐi-kəi-stũ,	INT-there girl-DEF:one:CL-TOP INT courtyard-LOC DIR-cry DIR-cry-ADV there exist-NAR-PART
411	old woman	1	old.woman	qodu	tɕiquɑ-lɑ qodu-le: hɑ-lə-kui-stũ.	inside-LOC old.woman-DEF:CL DIR-come-NAR-PART
412	feast106	1	feast106	dʑel	bəs dʑel-pə-tɕ-mɑ:-le: hɑ-lə-kui-stũ.	snake feast106-do-GEN-mama-DEF:CL DIR-come-NAR-PART
413	very(many)	1	very(many)	kən	qɑ ʁoi-kə-m kən he-ɕa-ȵi,	1sg call-go-NOM very(many) DIR-send:1sg-LNK
414	send // 1sg	1	send:1sg	ɕa	qɑ ʁoi-kə-m kən he-ɕa-ȵi,	1sg call-go-NOM very(many) DIR-send:1sg-LNK
415	close	1	close	tʂə	qɑ-phusuluq-te: tə-tsəqɑ-ȵi mi: ɦɑ-tʂə-n-bɑ,	1sg-clothing-DEF:CL DIR-grab-ADV eye DIR-close-2sg-DTV
416	a kind of thing	1	a.kind.of.thing	ʂkupu	ɦɑ tsɑ-tɑu-ŋuəȵi ə-ʁ-ʁza:-ʁɑ-ŋuəȵi ʂkupu-ɑ-tɑu de-le-kui-stũ.	INT this:one-time-TOP DIR-go-time-LOC-TOP a.kind.of.thing-one-CL DIR-give-NAR-PART
417	marry	2	marry	tsəusə // ɣʐə	χaiʂə tsəusə-bəl ȵi-ke: ŋuə-kui-ʂə,	†(still.is) marry-do WH-INDEF:CL COP-NAR-LNK
418	suck	1	suck	tʂhe107	tɕiquɑ-lɑ upu-bəs-lɑ-hɑ-ŋuəȵi ɕi tʂhe107-kəi-stũ.	inside-LOC uncle-snake-DEF:one-pl-TOP wine suck-NAR-PART
419	helpmate	1	helpmate	zaʁue	tsi-lou-ŋuəȵi upu-bəs-le: zaʁue (sitsəm) pe-kui-wɑ.	girl-DEF:one:CL-TOP uncle-snake-DEF:CL helpmate (wife) become-NAR-EMPH
420	(wife)	1	(wife)	sitsəm	tsi-lou-ŋuəȵi upu-bəs-le: zaʁue (sitsəm) pe-kui-wɑ.	girl-DEF:one:CL-TOP uncle-snake-DEF:CL helpmate (wife) become-NAR-EMPH
421	story	1	story	məʴʂ	lɑn-thə-m ke: məʴʂ qe:ʴ-qe:ʴ ŋuə-tu,	lazy-AUX-NOM INDEF:CL story before-before COP-LNK
422	call // 1pl	2	call:1pl	ʂpe:ʴ // ʂpəʴ	pitɕi-ŋuəȵi “ʐmətʂi” ʂpəʴ,	now-TOP emperor call:1pl
423	man	1	man	tʂi	juɑnʁuɑi.109) ɦɑ-tu satʂů-te:-tɕ-tʂi-le:-ŋuəȵi tʂi ou ʐi-kui,	emperor INT-RESULT younger.sister-DEF:CL-GEN-man-DEF:CL-TOP son one:CL exist-NAR
424	Mama	1	Mama	mɑ:	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
425	weigh	1	weigh	tʂhə	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
426	chat	8	chat	pethiɑu // pethɑu	sawu-le:-ŋuəȵi ɦɑ-thɑ pethɑu-pə-kui-wɑ,	older.sister-DEF:CL-TOP INT-there chat-do-NAR-EMPH
427	pretend	2	pretend	ʂpaqtɑ // ʂpɑqtɑ	tʂhaq-tɑ sə-ʁə ʂpaqtɑ-ȵi ɦɑ-ke dʑy-le: wəstɑ he-ʐi-kui-wɑ.	market-LOC DIR-go pretend-ADV INT-thus door-DEF:CL behind DIR-exist-NAR-EMPH
428	face to face	1	face.to.face	dʐə	ɦɑ-tu sawu-le: ȵɑ satʂů-le: ɦɑlɑ ə-dʐə-ȵi pethiɑu-pə-kəi,	INT-RESULT older.sister-DEF:CL COM younger.sister-DEF:CL INT DIR-face.to.face-ADV chat-do-NAR
429	pitiful	2	pitiful	meʴx // meʴχ	pethiɑu-pə-kəi-tu ɦɑlɑ meʴx,	chat-do-NAR-LNK INT pitiful
430	laxy	1	laxy	lɑn	“qɑ tʂi-le: lɑn-thɑ” jə-ȵi,	1sg son-DEF:CL laxy-AUX say-ADV
431	center	1	center	ʐeků	“qɑ ɦɑlɑ tʂhə-ʐeků-tɑ kuɑntsə ɦɑ-ka:-ʁɑ,	1sg INT market-center-LOC restaurant INT-INDEF:one:CL-LOC
432	restaurant	2	restaurant	kuɑntsɑ // kuɑntsə	“qɑ ɦɑlɑ tʂhə-ʐeků-tɑ kuɑntsə ɦɑ-ka:-ʁɑ,	1sg INT market-center-LOC restaurant INT-INDEF:one:CL-LOC
433	say // 1pl	1	say:1pl	dʑe:ʴ	ɦɑ-tu “ȵiɣi ȵiɣi ɦe-dʑe:ʴ” jə-kui,	INT-RESULT what what DIR-say:1pl say-NAR
434	older siser	1	older.siser	sawu	sawu-le: ȵɑ satʂů-le:,	older.siser-DEF:CL COM younger.sister-DEF:CL
435	thing	6	thing	pɑnɑ // pɑnə // ʐɑ // ʐə	ʐə hɑ-sɑ,”	thing DIR-make.sound
436	yak	1	yak	ʐbə	ʐbə-ŋuəȵi xsə-zi zə-p-ȵi tɕaʁa-lɑ ɦɑ-ʑdʑy-ȵi ʐi-ʐə-kui-tɕu.	yak-TOP three-CL DIR-buy-ADV cowpen-LOC DIR-tether-ADV exist-CAUS-NAR-PART
437	buy	2	buy // buy:PRS	p // pɑ:	ʐbə-ŋuəȵi xsə-zi zə-p-ȵi tɕaʁa-lɑ ɦɑ-ʑdʑy-ȵi ʐi-ʐə-kui-tɕu.	yak-TOP three-CL DIR-buy-ADV cowpen-LOC DIR-tether-ADV exist-CAUS-NAR-PART
438	above	1	above	məq	məq-tɑ tuŋtuŋ ʐo:puɑ-lɑ ʁu dɑ-χlɑ-jə-s-tɑ ɦɑ-ʑdʑy-ȵi i-ɕi-kui-wɑ.	above-LOC cave cave-LOC mountain DIR-cross-CSM-NOM-LOC DIR-tether-ADV DIR-put-NAR-EMPH
439	cave	5	cave	tuŋtuŋ // ʐo:pu // ʐo:puɑ // ʐo:pɑ	məq-tɑ tuŋtuŋ ʐo:puɑ-lɑ ʁu dɑ-χlɑ-jə-s-tɑ ɦɑ-ʑdʑy-ȵi i-ɕi-kui-wɑ.	above-LOC cave cave-LOC mountain DIR-cross-CSM-NOM-LOC DIR-tether-ADV DIR-put-NAR-EMPH
440	bold/daring	2	bold/daring // †bold/daring	tɑntɑ	tɑntɑ-ke: ʐi-kəi-wɑ,	bold/daring-INDEF:CL exist-NAR-EMPH
441	river valley	1	river.valley	qhuɑ:	ɦɑ-thu-ŋuəȵi “qhuɑ: dɑ-ʁə-ja,	DIR-there-TOP river.valley DIR-go-REP:1sg
442	RESULT,	1	RESULT,	tu	ɦɑ-tu,	INT-RESULT,
443	blow	1	blow	ɸə	ɦɑlɑ tɕetɕi-le: wu phə hɑ-ɸə-s-tɑ-jɑntɕi,	INT everywhere-DEF:CL all message DIR-blow-NOM-LOC-after
444	meeeting	1	meeeting	ʐmu	ɦɑlɑ ʂputhuʂ tou-ʁɑ-ŋuəȵi mi ɦɑlɑ ʐmətʂi-le: ʐmu-tsu lɑ-s-ʁɑ-ŋuəȵi ɦɑ-thɑ tʂhetsə-qu-tɑ sə-l-ȵi ɦɑ-ke keʴl-kə-kui.	INT bamboo.tube DEF:one:CL-LOC-TOP person INT emperor-DEF:CL meeeting-hold DEF:one-day-LOC-TOP INT-there cart-top-LOC DIR-look-ADV INT-thus ask-go-NAR
445	that // family	1	that:family	thoqpi	thoqpi-ŋuəȵi hɑ-qə-ȵi ȵi:-tɕ ɦɑlɑ gueʴ-ȵɑ thɑ-hɑn he-ɕi-ȵi tə-meʴʐ-s-tɑ,	that:family-TOP DIR-go-ADV 3sgREFL-GEN INT army-COM that:one-kind DIR-put-ADV DIR-seek-NOM-LOC
446	reputation	1	†(reputation	minjy	satʂů-le: tʂi-le:-ŋuəȵi minjy-tɕiəu-kɑulɑ.	younger.sister-DEF:CL son-DEF:CL-TOP †(reputation-then-higher)
447	then	2	then // †(then	tɕiu // tɕiəu	satʂů-le: tʂi-le:-ŋuəȵi minjy-tɕiəu-kɑulɑ.	younger.sister-DEF:CL son-DEF:CL-TOP †(reputation-then-higher)
448	higher)	1	higher)	kɑulɑ	satʂů-le: tʂi-le:-ŋuəȵi minjy-tɕiəu-kɑulɑ.	younger.sister-DEF:CL son-DEF:CL-TOP †(reputation-then-higher)
449	provide for	5	provide.for	pəʴʐ // pəʴʐə	ɦɑ-tu phɑwu-le: wutɕupu-ȵɑ ȵiɣi dzə-ȵi ȵiɣi tɕhə-tɕ ɦɑ-tsəi ə-ʂ-jy ŋuə-ȵi ɦɑ-tsəi pəʴʐə-kui-wɑ.	INT-RESULT older.sister-DEF:CL husband-COM what eat-ADV what drink-GEN INT-this.manner DIR-put-ASP COP-ADV INT-this.manner provide.for-NAR-EMPH
450	solved)	1	solved)	tɕaitɕyelɑ	tse:-tɕ-ʁɑ112 tɕiu tɕaitɕyelɑ.	this:CL-GEN-LOC †(then solved)
451	place	7	place	fən // ʂpɑ // ʂpɑq // ʂpəq	tɕiuʂə ʐmətʂi-le:-ŋuəȵi ɦɑ-thɑ nai-e-fən-ʁɑ-tɕ-ʐmətʂi-ke: dzin-le: do-ɣʐu-kəi-hɑ,	†(that.is) emperor-DEF:CL-TOP INT-there other-one-place-LOC-GEN-emperor-INDEF:CL monk’s.robe113-DEF:CL DIR-lose-NAR-PART
452	monk’s robe113	1	monk’s.robe113	dzin	tɕiuʂə ʐmətʂi-le:-ŋuəȵi ɦɑ-thɑ nai-e-fən-ʁɑ-tɕ-ʐmətʂi-ke: dzin-le: do-ɣʐu-kəi-hɑ,	†(that.is) emperor-DEF:CL-TOP INT-there other-one-place-LOC-GEN-emperor-INDEF:CL monk’s.robe113-DEF:CL DIR-lose-NAR-PART
453	found)	1	†(found)	tʂɑutɑulɑ	ɦɑ-tse:-ŋuəȵi tʂɑutɑulɑ dɑ-tɕ-ku-kui,	INT-this:CL-TOP †(found) DIR-find-go-NAR
454	rice/food	1	rice/food	stuɑhɑ	stuɑhɑ χaiʂə ba kə tɕhə-kəpə-k,	rice/food †(still.is) big thus eat-HABIT-INF
455	cat	6	cat	məʴ // puȵi // puȵu	tu puȵi-le:-wu,	RESULT cat-DEF:CL-AGT
456	white beard(cat)	1	†white.beard(cat)	pefutsə	pefutsə,	†white.beard(cat)
457	white beard	1	white.beard	pefutsə	tʂekə pefutsə məʴ ke guo zuo χɑu sə,”	†(this white.beard cat give 1sg do good thing)
458	thing)	1	thing)	sə	tʂekə pefutsə məʴ ke guo zuo χɑu sə,”	†(this white.beard cat give 1sg do good thing)
459	bite	1	bite	ʁdʐe	ɦɑ-tu puȵu-le:-wu ɦɑ-thɑ ʐmətʂi jin-le:-tɑ ɦɑ-ʁdʐe-jantɕi ɦɑlɑ u-zu-ȵi ʐi-kui-hɑ,	INT-RESULT cat-DEF:CL-AGT INT-there emperor monk’s.robe-DEF:CL-LOC DIR-bite-after there DIR-wait-ADV exist-NAR-PART
460	good thing	1	†good.thing	χɑusə	hi qɑ-tɕ χɑusə tə-bəl-ən-ʂə,”	EXCL 1sg-GEN †good.thing DIR-do-2sg-LNK
461	vertically	1	vertically	tʂhɑtʂ	ʁɑ-ŋuəȵi tə-tʂhɑtʂ ŋuəȵi ɕtɕə-χtʂ,	roof.tile-TOP DIR-vertically TOP seven-row
462	too	1	too	ʂ	ɑ-zə-ŋuəȵi ʂqu-ʂ-un,	one-little-TOP difficult-too-2sg
463	divine(v )	1	divine(v.)	suɑ	χaiʂə “qɑ pəmaha ȵi:-le: tə-suɑ,	†(still.is) 1sg tonight what-DEF:CL DIR-divine(v.)
464	still)	1	†(still)	χaisə	mi χaisə ɦɑ-tsəi ɦɑ-tse:-ŋuəȵi kənʂə tə-pəʴʐ-ȵi ɦɑ-ke ŋuə-ʐ-kui-hɑ.	person †(still) INT-this.manner INT-this:CL-TOP †even.more DIR-provide.for-ADV INT-thus COP-CAUS-NAR-PART
465	even more	1	†even.more	kənʂə	mi χaisə ɦɑ-tsəi ɦɑ-tse:-ŋuəȵi kənʂə tə-pəʴʐ-ȵi ɦɑ-ke ŋuə-ʐ-kui-hɑ.	person †(still) INT-this.manner INT-this:CL-TOP †even.more DIR-provide.for-ADV INT-thus COP-CAUS-NAR-PART
466	parrot	12	parrot	genkuo // gənkuo	gənkuo wətshi-ŋuəȵi gən phulu χaiʂə pɑufu-le: ŋuə-s kɑ-hɑn ŋuə-kuɑ-ji,	parrot bird-TOP very expensive †(still.is) retaliation-DEF:CL COP-NOM INDEF:one-kind COP-NAR-HS
467	expensive	1	expensive	phulu	gənkuo wətshi-ŋuəȵi gən phulu χaiʂə pɑufu-le: ŋuə-s kɑ-hɑn ŋuə-kuɑ-ji,	parrot bird-TOP very expensive †(still.is) retaliation-DEF:CL COP-NOM INDEF:one-kind COP-NAR-HS
468	retaliation	1	retaliation	pɑufu	gənkuo wətshi-ŋuəȵi gən phulu χaiʂə pɑufu-le: ŋuə-s kɑ-hɑn ŋuə-kuɑ-ji,	parrot bird-TOP very expensive †(still.is) retaliation-DEF:CL COP-NOM INDEF:one-kind COP-NAR-HS
469	is)	1	†(is)	iʂə	genkuo iʂə wətshi kɑ-hɑn ʐi-ku-ʂə,	parrot †(is) bird INDEF:one-kind exist-NAR-LNK
470	agree on	1	agree.on	tin	ɦɑ-tu ʂətɕiɑn ə-tin-thɑ-ȵi ɦɑ-tsəi ə-pəʴʐ-kə-kui,	INT-RESULT †time DIR-agree.on-AUX-ADV INT-this.manner DIR-provide.for-go-NAR
471	inanimate treasure	1	inanimate.treasure	tsəpɑu	qɑ tse: tsəpɑu-le: mɑ-ŋ̥u̥ə-ʂə χuopɑu-le: ŋuə.	1sg this:CL inanimate.treasure-DEF:CL NEG-COP-LNK live.treasure-DEF:CL COP
472	really	2	really // †really	tʂentʂen // ʁɑtɕhi	tʂentʂen qɑ tse: genkuo-le: dɑ-tɕə-s kɑ-hɑn ŋuə-tu,	†really 1sg this:CL parrot-DEF:CL DIR-find-NOM INDEF:one-kind COP-LNK
473	equal	2	equal // †(equal	phin	qɑ-ȵike phin-tɕhi-phin-tsuo,	1sg-COM:thus †(equal-stand-equal-sit)
474	sit)	1	sit)	tsuo	qɑ-ȵike phin-tɕhi-phin-tsuo,	1sg-COM:thus †(equal-stand-equal-sit)
475	Han person	1	Han.person	ʁəʴ	ʁəʴ-tɑ-ŋuəȵi kaijuɑn-ʁɑ ʂpə me-we-m me-ʐi,	Han.person-DAT-TOP †street.edge-LOC bamboo NEG-exist-NOM NEG-exist
476	wing	1	wing	ɣzəifɑ	ɦɑ-thɑ genkuo-le:-ŋuəȵi ɣzəifɑ qə-tɑ-ŋuəȵi xʂul lou tə-χʂə-ȵi wet lou ɦɑ-ke tə-tʂhe-le: we-kui-wɑ,	INT-there parrot-DEF:CL-TOP wing top-LOC-TOP rope DEF:one:CL DIR-tie-ADV stick DEF:one:CL INT-thus DIR-support-DEF:CL exist-NAR-EMPH
477	tie	1	tie	χʂə	ɦɑ-thɑ genkuo-le:-ŋuəȵi ɣzəifɑ qə-tɑ-ŋuəȵi xʂul lou tə-χʂə-ȵi wet lou ɦɑ-ke tə-tʂhe-le: we-kui-wɑ,	INT-there parrot-DEF:CL-TOP wing top-LOC-TOP rope DEF:one:CL DIR-tie-ADV stick DEF:one:CL INT-thus DIR-support-DEF:CL exist-NAR-EMPH
478	stick	2	stick	jə // wet	ɦɑ-thɑ genkuo-le:-ŋuəȵi ɣzəifɑ qə-tɑ-ŋuəȵi xʂul lou tə-χʂə-ȵi wet lou ɦɑ-ke tə-tʂhe-le: we-kui-wɑ,	INT-there parrot-DEF:CL-TOP wing top-LOC-TOP rope DEF:one:CL DIR-tie-ADV stick DEF:one:CL INT-thus DIR-support-DEF:CL exist-NAR-EMPH
