ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
479	support	1	support	tʂhe	ɦɑ-thɑ genkuo-le:-ŋuəȵi ɣzəifɑ qə-tɑ-ŋuəȵi xʂul lou tə-χʂə-ȵi wet lou ɦɑ-ke tə-tʂhe-le: we-kui-wɑ,	INT-there parrot-DEF:CL-TOP wing top-LOC-TOP rope DEF:one:CL DIR-tie-ADV stick DEF:one:CL INT-thus DIR-support-DEF:CL exist-NAR-EMPH
480	among	1	among	χqa	tu ɦɑlɑ xʂul-le:-ŋuəȵi ʂpə χqa-lɑ hɑ-jə-kui.	RESULT INT rope-DEF:CL-TOP bamboo among-LOC DIR-stick/be.caught-NAR
481	stick/be caught	1	stick/be.caught	jə	tu ɦɑlɑ xʂul-le:-ŋuəȵi ʂpə χqa-lɑ hɑ-jə-kui.	RESULT INT rope-DEF:CL-TOP bamboo among-LOC DIR-stick/be.caught-NAR
482	(birdcall)	1	(birdcall)	ɕtɕeʴpɕtɕeʴp	genkuo-le: ʐɑχuɑ-lɑ ɕtɕeʴpɕtɕeʴp-le: thɑ sɑ-kui-hɑ,	parrot-DEF:CL inside-LOC (birdcall)-DEF:CL there make.sound-NAR-PART
483	matter/affair	1	matter/affair	ʐɑ	“tsɑ-χui tse: genkuo-le: qɑ-tɕ ʐɑ hɑ-sə-ʂə,”	this:one-time this:CL parrot-DEF:CL 1sg-GEN matter/affair DIR-make.sound-LNK
484	disaster	1	disaster	ʂkupɑ	qɑ-χuopɑu-le:-ŋuəȵi ʂkupɑ-mo-ʁu,	1sg-live.treasure-DEF:CL-TOP disaster-NEG-willing
485	fate/destiny	1	fate/destiny	lez	ɦa-ka:-ʁɑ stuɑhɑ tɕhə-s ɦɑ-kɑ-hɑn lez tə-ʁə-s-le: we-kuai.	INT-INDEF:one:CL-LOC food eat-NOM INT-INDEF:one-kind fate/destiny DIR-go-NOM-DEF:CL exist-NAR
486	kind)	1	kind)	jɑn	ɦɑ-tsu-ŋuəȵi ȵi ke guo sɑn-jɑn,	INT-here-TOP †(2sg give 1sg three-kind)
487	kinds	1	kinds	hɑn	ɦɑ-thu xsə-hɑn thuntʂə tu-p-ʐə-ku-ʂə,	INT-there three-kinds notify DIR-do-CAUS-NAR-LNK
488	seat	1	seat	luq	qɑ-luq-te:-ŋuəȵi ʔũ o-zu-n,”	1sg-seat-DEF:CL-TOP 2sg DIR-sit-2sg
489	root	1	root	kopu	ɦɑ-tsu qɑ-wu dʑe-tɕ kopu-le:-ŋuəȵi,	DIR-here 1sg-AGT say-NOM root-DEF:CL-TOP
490	forget	1	forget	m	qɑ tɕiq dʑe-s-tɑ-ŋuəȵi ʐmə-lɑ-sɑ dɑ-m-ɑ,	1sg inside say-NOM-LOC-TOP name-DEF:one-CL DIR-forget-1sg
491	back	1	back	steke	χuɑn-tɕhiɑnmeʴ ʐmə-w kɑ-hɑn ŋuə-w-tu.) ʐmətʂi-le:-ŋuəȵi tɕi-steke-lɑ ŋuə-tu,	Huang-Qianmen call-VIS INDEF:one-kind COP-VIS-LNK emperor-DEF:CL-TOP most-back-LOC COP-LNK
492	long ago	1	long.ago	qeʴ	tshəntɕɑ qɑpə qeʴ ŋuə-tu,	Chen.family old.man long.ago COP-LNK
493	traveling expenses	1	traveling.expenses	phɑntshə	ɑ-sə-mɑqɑ khuə tə-ɕi-ȵi phɑntshə-ʁɑ khuə tə-ɕi-ȵi stuɑhɑ tɕhə-m,	one-day-each dog DIR-release-ADV traveling.expenses-LOC dog DIR-release-ADV food eat-NOM
494	below	2	below	ʂqə // ʂqəl	ʐo:pu-le: ʂqəl-lɑ-ŋuəȵi bəs-le: u-tɕu-kəi-wɑ.	cave-DEF:CL below-LOC-TOP snake-DEF:CL DIR-see-NAR-EMPH
495	ought // 1sg	1	ought:1sg	ʁza	ɦɑ-ke kə-ʁza-ȵi,	INT-thus go-ought:1sg-ADV
496	empty handed	1	empty.handed	xʂuɕtɕu	ɦɑ-kə xʂuɕtɕu-le: kə-qəstɑ,	INT-thus empty.handed-DEF:CL go-not.as.good.as
497	why	1	why	ȵiχuɑ	“ȵiχuɑ ŋuə-ȵi (hɑtu) tə-ʑdʑi?”	why COP-ADV INT DIR-sick
498	sick	5	sick	ʑdʑi // ʑdʑi?	“ȵiχuɑ ŋuə-ȵi (hɑtu) tə-ʑdʑi?”	why COP-ADV INT DIR-sick
499	cure	1	cure	tʂhup	“ʑdʑi ɦo-tʂhup-ȵi ʑdʑi u-xʂu mɑ-lə,	sick DIR-cure-ADV sick DIR-recover NEG-able
500	eat // 1sg	1	eat:1sg	dza	qɑ tshəntɕɑ qɑpə-tɕ ʂpəl ȵɑ ɕtɕi:mi sə-dza-tu,	1sg Chen.family old.man-GEN kidney COM heart DIR-eat:1sg-LNK
501	save	1	save	tɕəu	tse:-ŋuəȵi tshəntɕɑ qɑpə tɕəu-thɑ-tɕ,	this:CL-TOP Chen.family old.man save-AUX-GEN(goal)
502	GEN(goal)	1	GEN(goal)	tɕ	tse:-ŋuəȵi tshəntɕɑ qɑpə tɕəu-thɑ-tɕ,	this:CL-TOP Chen.family old.man save-AUX-GEN(goal)
503	Chen Diqing	21	Chen.Diqing	tshəntitɕhin // tshəntitɕhən // tɕhəntitɕhin	tshəntɕɑ qɑpə-tɕ tʂi-ŋuəȵi tshəntitɕhən,	Chen.family old.man male/son-TOP Chen.Diqing
504	divine(the future)	1	divine(the.future)	suəsuɑ	ɦɑ-tu tshəntɕɑ qɑpə-ŋuəȵi suəsuɑ ɣʐə-jy,	INT-RESULT Chen.family old.man-TOP divine(the.future) able-ASP
505	divine	2	divine	suɑ // suəsuɑ	ɦɑlɑ tə-suɑ-ȵi dʐuků de-le,	INT DIR-divine-ADV knowledge DIR-exist
506	set out	3	set.out	jy // ɣz // ɣzə	ʔũ-ŋuəȵi dɑ-ɣzə-n,	2sg-TOP DIR-set.out-2sg
507	escape	1	escape	χlu	qɑ-ŋuəȵi fɑntʂənʂə ʐmətʂi tsoqpi jəpɑ-q-tɑ-ŋuəȵi do-χlu mɑ-lə-jya,	1sg-TOP †(anyway.is) emperor this:family hand-top-LOC-TOP DIR-escape NEG-able-ASP:1sg
508	cliff	1	cliff	jopu	ɦɑ-thɑ-s-ʁɑ bəs-le: jopu-le: ʂqə-lɑ u-tɕyɑ-pɑqtɑ ɦɑtɑ tse:-ŋuəȵi,	INT-that:one-day-LOC snake-DEF:CL cliff-DEF:CL below-LOC DIR-see:1sg-LNK(after) INT this:CL-TOP
509	see // 1sg	1	see:1sg	tɕyɑ	ɦɑ-thɑ-s-ʁɑ bəs-le: jopu-le: ʂqə-lɑ u-tɕyɑ-pɑqtɑ ɦɑtɑ tse:-ŋuəȵi,	INT-that:one-day-LOC snake-DEF:CL cliff-DEF:CL below-LOC DIR-see:1sg-LNK(after) INT this:CL-TOP
510	LNK(after)	1	LNK(after)	pɑqtɑ	ɦɑ-thɑ-s-ʁɑ bəs-le: jopu-le: ʂqə-lɑ u-tɕyɑ-pɑqtɑ ɦɑtɑ tse:-ŋuəȵi,	INT-that:one-day-LOC snake-DEF:CL cliff-DEF:CL below-LOC DIR-see:1sg-LNK(after) INT this:CL-TOP
511	AMP119 // all	1	AMP119:all	tɕeʴwu	tshəntitɕhin ʔũ du-ɸu dʐə-tɕeʴwu du-ɸu-n-pɑ,	Chen.Diqing 2sg DIR-run.away able-AMP119:all DIR-run.away-2sg-DTV
512	manage	2	manage	kuɑn // pɑn	ɦɑ-tu χu ȵɑ thɑ-hɑn kuɑn-thɑ-m əzzi ʐi-kui.	INT-RESULT goods COM that:one-kind manage-AUX-NOM a.few exist-NAR
513	a few	1	a.few	əzzi	ɦɑ-tu χu ȵɑ thɑ-hɑn kuɑn-thɑ-m əzzi ʐi-kui.	INT-RESULT goods COM that:one-kind manage-AUX-NOM a.few exist-NAR
514	least amount)	1	†(least.amount)	afəʴali	ɦɑ-tu thɑ-hɑn afəʴali mɑ-tʂhə-tɕ lɑχuilai χu.	INT-RESULT that:one-kind †(least.amount) NEG-lack-GEN †(take.back) goods
515	lack	1	lack	tʂhə	ɦɑ-tu thɑ-hɑn afəʴali mɑ-tʂhə-tɕ lɑχuilai χu.	INT-RESULT that:one-kind †(least.amount) NEG-lack-GEN †(take.back) goods
516	take back)	1	†(take.back)	lɑχuilai	ɦɑ-tu thɑ-hɑn afəʴali mɑ-tʂhə-tɕ lɑχuilai χu.	INT-RESULT that:one-kind †(least.amount) NEG-lack-GEN †(take.back) goods
517	close relatives	1	close.relatives	kuȵɑtsə	“kuȵɑtsə ȵɑ stumpətʂe120-ŋuəȵi,	close.relatives COM relatives-TOP
518	relatives	1	relatives	stumpətʂe120	“kuȵɑtsə ȵɑ stumpətʂe120-ŋuəȵi,	close.relatives COM relatives-TOP
519	smart	1	smart	tshənpe	tʂi-ŋuəȵi tshənpe-khunpe.	son-TOP smart-capable
520	capable	1	capable	khunpe	tʂi-ŋuəȵi tshənpe-khunpe.	son-TOP smart-capable
521	still is	1	†(still.is	χaiʂə	ɦɑlɑ-ŋuəȵi χaiʂə tɑulə tɕi kuo jue ʂəχəu i-jə-ɕ pe-tu,	there-TOP †(still.is arrive few CL month time/when) one-two-month become-LNK
522	month	2	month	jue // ɕ	ɦɑlɑ-ŋuəȵi χaiʂə tɑulə tɕi kuo jue ʂəχəu i-jə-ɕ pe-tu,	there-TOP †(still.is arrive few CL month time/when) one-two-month become-LNK
523	time/when)	1	time/when)	ʂəχəu	ɦɑlɑ-ŋuəȵi χaiʂə tɑulə tɕi kuo jue ʂəχəu i-jə-ɕ pe-tu,	there-TOP †(still.is arrive few CL month time/when) one-two-month become-LNK
524	years	1	years	p	ɕtɕə-p le-ȵi ləɣz ɑ:-su-k-wɑ.	seven-years exist-ADV book DIR:INDTV-study-go-DTV
525	twelve years old)	1	†(twelve.years.old)	ʂəʔəʴsui	nai tʂi pe-tu ʂəʔəʴsui hani-p le-ȵi ɦɑ-tu qɑ tɑ:-meʴʐ-lə-wɑ,”	other son become-LNK †(twelve.years.old) twelve-year exist-LNK INT-RESULT 1sg INDTV-seek-come-DTV
526	twelve	1	twelve	hani	nai tʂi pe-tu ʂəʔəʴsui hani-p le-ȵi ɦɑ-tu qɑ tɑ:-meʴʐ-lə-wɑ,”	other son become-LNK †(twelve.years.old) twelve-year exist-LNK INT-RESULT 1sg INDTV-seek-come-DTV
527	return	1	return	pə	kə-ŋuə-tu i-pə-l-ȵi qɑ ta:-meʴʐ-wɑ.”	thus-COP-LNK DIR-return-come-ADV 1sg DIR:INDTV-seek-DTV
528	same way	1	same.way	ʂpaʂpa	qe:ʴ ʂpaʂpa ɦɑ-ke: tu-tsu-jə-kəi.	before same.way INT-INDEF:CL DIR-meet-REP-NAR
529	perhaps	1	perhaps	luo	ɦɑ-ŋuəȵi χu-pɑn-thɑ-luo,	INT-TOP goods-manage-AUX-perhaps
530	ten	2	ten	hodʑy // hotɕu	hodʑy-p le-ȵi qɑ ta:-meʴʐ-lə-wɑ,”	ten-year exist-ADV 1sg DIR:INDTV-seek-come-DTV
531	flat area on side of hill	1	flat.area.on.side.of.hill	bɑ	bɑ-la:-ʁɑ e-tʂepe-kəi.	flat.area.on.side.of.hill-DEF:CL-LOC DIR-encounter-NAR
532	TOP)	1	†(TOP)	jə	thɑnkhemu-jə ba-kəi-ʂə,	Thɑnkhemu-†(TOP) big-NAR-LNK
533	WH kind	1	WH.kind	ȵi:tsəi	ɦɑlɑ likhemu-ŋuəȵi “ȵi:tsəi ŋuə-ʐɑ:?”	INT Likhemu-TOP WH.kind COP-CAUS:PRS:1pl
534	seek // 1pl	1	seek:1pl	meʴʐe:ʴ	“ʔũ ȵɑ qɑ jə-ze wu tsəi-ŋuəȵi thɑ-hɑn ep meʴʐe:ʴ,	2sg COM 1sg two-CL all this.manner-TOP that:one-kind father seek:1pl
535	jointly	1	jointly	kənti	ep-te: kənti e: ŋuə-k-ɑ:ʴ-tɕi?	father-DEF:CL jointly one:CL COP-INF-PRS:1pl-Q
536	house(temple)	1	house(temple)	tɕi	ɦɑlɑ xsə-tɕi-la:-ʁɑ ə-wəi-jə-kəi ha,	INT god-house(temple)-DEF:CL-LOC DIR-stay/live-REP-NAR INT
537	Chen	1	Chen	tshən	tshən-ŋuəȵi ɦɑ-thɑ xsə-tɕi-le:-pienɑ-ŋuəȵi ʐoʁu-pienɑ-lɑ wətshəi-le:-tɑ ɦɑ-l-ȵi ɦɑ-ke-ze ʐi-jə kə u-ʐmu-ɑ-wɑ,”	Chen-TOP INT-there god-house-DEF:CL-beside-TOP courtyard-beside-LOC wild.prickly.ash-DEF:CL-LOC DIR-look-ADV INT-INDEF-CL exist-REP thus DIR-dream-1sg-EMPH
538	wild prickly ash	1	wild.prickly.ash	wətshəi	tshən-ŋuəȵi ɦɑ-thɑ xsə-tɕi-le:-pienɑ-ŋuəȵi ʐoʁu-pienɑ-lɑ wətshəi-le:-tɑ ɦɑ-l-ȵi ɦɑ-ke-ze ʐi-jə kə u-ʐmu-ɑ-wɑ,”	Chen-TOP INT-there god-house-DEF:CL-beside-TOP courtyard-beside-LOC wild.prickly.ash-DEF:CL-LOC DIR-look-ADV INT-INDEF-CL exist-REP thus DIR-dream-1sg-EMPH
539	water(river)	1	water(river)	tsə	ʁɑtɕhi ɦɑlɑ gue:ʴ-le:-pienɑ-ŋuəȵi səɸ-lə-jin-tʂɑ we-s-tɑ-ŋuəȵi ɦɑlɑ tsə-le: lu-ji,	really INT road-DEF:CL-beside-TOP tree-DEF-few-CL exist-NOM-LOC-TOP INT water(river)-DEF:CL come(flow)-HS
540	come(flow)	1	come(flow)	lu	ʁɑtɕhi ɦɑlɑ gue:ʴ-le:-pienɑ-ŋuəȵi səɸ-lə-jin-tʂɑ we-s-tɑ-ŋuəȵi ɦɑlɑ tsə-le: lu-ji,	really INT road-DEF:CL-beside-TOP tree-DEF-few-CL exist-NOM-LOC-TOP INT water(river)-DEF:CL come(flow)-HS
541	spring water	1	spring.water	χqɑtsəimi	ɦɑlɑ χqɑtsəimi-le: ɦɑ-lə-kui.	INT spring.water-DEF:CL DIR-come-NAR
542	stone	1	stone	ʐɑwɑ	sə-tɕ-kəi-tu ɦɑlɑ ʐɑwɑ-ʂəpan-le: ɦa-que-ji-le: tu-tsu-kəi,	DIR-drink-NAR-LNK INT stone-†stone.slab-DEF:CL DIR-cover-CSM-DEF:CL DIR-encouter-NAR
543	stone slab	3	stone.slab // †stone.slab	ʂəpan // ʂəpɑn	sə-tɕ-kəi-tu ɦɑlɑ ʐɑwɑ-ʂəpan-le: ɦa-que-ji-le: tu-tsu-kəi,	DIR-drink-NAR-LNK INT stone-†stone.slab-DEF:CL DIR-cover-CSM-DEF:CL DIR-encouter-NAR
544	cover	1	cover	que	sə-tɕ-kəi-tu ɦɑlɑ ʐɑwɑ-ʂəpan-le: ɦa-que-ji-le: tu-tsu-kəi,	DIR-drink-NAR-LNK INT stone-†stone.slab-DEF:CL DIR-cover-CSM-DEF:CL DIR-encouter-NAR
545	encouter	1	encouter	tsu	sə-tɕ-kəi-tu ɦɑlɑ ʐɑwɑ-ʂəpan-le: ɦa-que-ji-le: tu-tsu-kəi,	DIR-drink-NAR-LNK INT stone-†stone.slab-DEF:CL DIR-cover-CSM-DEF:CL DIR-encouter-NAR
546	club	1	club	kɑntɕhi	kɑntɕhi,	club
547	mouthful	1	mouthful	qu	thɑnkhemu-ŋuəȵi tsə o-qu sə-tɕ-kəi,	Thɑnkhemu-TOP water one-mouthful DIR-drink-NAR
548	little brother	1	little.brother	tutʂu	ɦɑ-tu “likhemu lə ə-tɕhə-n qɑ-tutʂu ə-tɕhə-n,”	INT-RESULT Likhemu also DIR-drink-2sg 1sg-little.brother DIR-drink-2sg
549	trip	1	trip	thɑn	u-χsu-ȵi ɑ-thɑn tə-tsi-kəi-tu,	DIR-jump-ADV one-trip DIR-lift-NAR-LNK
550	turn over	1	turn.over	qe	ʂəpɑn tə-qe-ȵiɑufu,	stone.slab DIR-turn.over-LNK(as.soon.as)
551	upper part	1	upper.part	guχu	ɦɑlɑ gue:ʴ-guχu-lɑ xsə-tɕi-le:-ʁɑ sin-le:-tɑ ɦɑ-l-ȵi ʐi-kui-wɑ,	INT road-upper.part-LOC god-house-DEF:CL-LOC lion-DEF:CL-LOC DIR-look-ADV exist-NAR-EMPH
552	pair	1	pair	tue	ɦɑlɑ gɑntsə-ŋuəȵi ɦɑlɑ sin le-tue-tɑ ɦɑ-ʂə-tɕ,	INT saddle-TOP INT lion DEF-pair-LOC DIR-put-GEN
553	wash clean	1	wash.clean	ʂu	ɦo-ʂu kə ɦɑ-thə tə-bəl-ȵiɑntɕi gɑntsə χuɑ-m ɦɑlə ə-tɕ-kəi,	DIR-wash.clean thus INT-there DIR-make-after saddle sell-NOM there DIR-stop-NAR
554	city	1	city	ʁo	ɦɑlɑ ʁo-men ɦo-tsu-ji-la:-ʁɑ ɦɑlɑ,	INT city-gate DIR-stand.up-CSM-DEF:CL-LOC there
555	gate	1	gate	men	ɦɑlɑ ʁo-men ɦo-tsu-ji-la:-ʁɑ ɦɑlɑ,	INT city-gate DIR-stand.up-CSM-DEF:CL-LOC there
556	stand up	1	stand.up	tsu	ɦɑlɑ ʁo-men ɦo-tsu-ji-la:-ʁɑ ɦɑlɑ,	INT city-gate DIR-stand.up-CSM-DEF:CL-LOC there
557	come // 1pl	3	come:1pl	leʴ // ləʴ	“tɕile tshəntitɕhin meʴʐ leʴ-wɑ,”	1pl Chen.Diqing seek come:1pl-EMPH
558	buy // 1pl	1	buy:1pl	pəʴ	nai mo-χoʂu-tu mɑ-pəʴ-wɑ,”	other NEG-fit-LNK NEG-buy:1pl-EMPH
559	reveal	1	reveal	qe	qhuɑt tə-ʂ-ȵike tu te-qe me-tɕhi,	as.it.happens DIR-grow-after RESULT DIR-reveal NEG-want
560	tunnel	2	tunnel // †tunnel	titɑu	ɦɑ-tu jɑutsan dʑemi wutɕupu-ŋuəȵi ɦɑlɑ titɑu tə-xkue-ȵi ɦɑ-tsəi ə-ʂ-jy-kui-wɑ,	INT-RESULT man.eating.demon Dʑemi husband-TOP INT †tunnel DIR-dig-ADV INT-this.manner DIR-put-ASP-NAR-EMPH
561	dig	1	dig	xkue	ɦɑ-tu jɑutsan dʑemi wutɕupu-ŋuəȵi ɦɑlɑ titɑu tə-xkue-ȵi ɦɑ-tsəi ə-ʂ-jy-kui-wɑ,	INT-RESULT man.eating.demon Dʑemi husband-TOP INT †tunnel DIR-dig-ADV INT-this.manner DIR-put-ASP-NAR-EMPH
562	ʴght	1	ʴght	quɑ	ɦɑ-tu nə-quɑ-ȵi ɦɑlɑ ŋuə-tu,	INT-RESULT DIR-ʴght-ADV there COP-LNK
563	catch)	1	†(catch)	tɑitɑulɑ	ɦɑlɑ jɑutsan dʑemi ɦɑ-tsoqpi-tɕ ʐmətʂi ɦɑ-tse:-wu tɑitɑulɑ,	there man.eating.demon Dʑemi INT-this:family-GEN emperor INT-this:CL-AGT †(catch)
564	catch	1	catch	ts̥əqɑ	tə-ts̥əqɑ-ku,	DIR-catch-NAR
565	nearly dead	1	nearly.dead	ȵisues	thɑnkhemu ȵɑ likhemu-ŋuəȵi titɑu-ʁɑ a-ʁů-ȵi ȵisues me-le:-tɕ-ŋuəȵi sipe dɑ-ɕtɕ-jə,	Thɑnkhemu COM Likhemu-TOP tunnel-LOC DIR-throw-ADV nearly.dead NEG-exist-GEN-TOP medicine DIR-feed-CSM
566	also recalled a little)	1	†(also.recalled.a.little)	χaiʂəχuijələjitian	ɦɑ-tu thɑnkhemu ȵɑ likhemu-ŋuəȵi χaiʂəχuijələjitian,	INT-RESULT Thɑnkhemu COM Likhemu-TOP †(also.recalled.a.little)
567	thought(n )	1	thought(n.)	ɕtɕů	ɦɑ-tsəi-ȵi ɕtɕů zə-lɑ-ȵi,	INT-this.manner-ADV thought(n.) DIR-come-ADV
568	eleven	1	eleven	hatʂi	the-wu hatʂi-p le-ȵi qɑ ta:-meʴʐ-wɑ,	that-ABL eleven-year exist-ADV 1sg DIR:INDTV-seek-DVT
569	come // 1p	1	come:1p	ləʴ	“a ʔũ ȵɑ qɑ ep meʴʐ ləʴ-ȵi,”	EXCL 2sg COM 1sg father seek come:1p-ADV
570	these people	1	these.people	tsəzzi	likhemu tsəzzi-ŋuəȵi ɦɑlɑ jɑutsan dʑemi wutɕupu-le:-ŋuəȵi,	Likhemu these.people-TOP there man.eating.demon Dʑemi husband-DEF:CL-TOP
571	ordinary citizens	2	†ordinary.citizens	lɑupeɕi // lɑupeɕin	jautsan dʑemi tse:-wu χaiʂə lɑupeɕi lə qusu ə-tʂən-thɑ,	man.eating.demon Dʑemi this:CL-AGT †(still.is) †ordinary.citizens also very.many DIR-kill-AUX
572	dispute	1	dispute	tshenʂə	tshenʂə qusu tə-qɑ-ʐ-kui-wɑ.	dispute very.many DIR-go-CAUS-NAR-EMPH
573	first demand)	1	†(first.demand)	tijikuojautɕhiu	ɦɑ-tu tshəntitɕhin-ŋuəȵi ɦɑ-tu tijikuojautɕhiu,	INT-RESULT Chen.Diqing-TOP INT-RESULT †(first.demand)
574	appearance	1	appearance	χupi	quɑha-χupi lə u-mu-tɕu-le,	face-appearance also DIR-NEG-see-because
575	catty	1	catty	tɕ	ȵiuχuɑn-ŋuəȵi ɑ-tɕ,	bezoar-TOP one-catty
576	charcoal	4	charcoal // †charcoal	kɑnthɑn // mudʑu	kɑnthɑn mudʑu-ŋuəȵi ɑ-w phə tɕhe-wɑ,	†charcoal charcoal-TOP one-pile blow(burn) want-DTV
577	front	1	front	putu	tɕile putu-lɑ-ŋuəȵi kɑnthɑn ɑ-w phə tɕhe-wɑ,”	1pl front-LOC-TOP charcoal one-pile blow(burn) want-DTV
578	put/place	1	put/place	ʂə	kɑnthɑn-məq-tɑ ȵiuχuɑn-le-ste ʂə-ku-tu,	charcoal-top-LOC bezoar-DEF-CL put/place-NAR-LNK
579	big teeth	1	big.teeth	dzə	jautsan-le:-ŋuəȵi dzə ɦɑ-lə-kəi-stun.	man.eating.demon-DEF:CL-TOP big.teeth DIR-come-NAR-PART
580	actually	1	†(actually	tɕiutɕin	pəs-ŋuəȵi ʐmətʂi sətsim-le: tɕiutɕin ʂə mi-le: ŋuə-ŋuɑ?	today-TOP emperor wife-DEF:CL †(actually COP) person-DEF:CL COP-Q
581	COP)	1	COP)	ʂə	pəs-ŋuəȵi ʐmətʂi sətsim-le: tɕiutɕin ʂə mi-le: ŋuə-ŋuɑ?	today-TOP emperor wife-DEF:CL †(actually COP) person-DEF:CL COP-Q
582	loss	1	loss	sunʂə	ɦɑ-tse:-wu lɑupeɕin ȵɑ gueʴ ȵɑ thɑ-hɑn qusu sunʂə tə-qɑ-ʐə-ʂ,	INT-this:CL-AGT †ordinary.citizens COM soldier COM that:one-kind very.many loss DIR-go-CAUS-LNK
583	2plREFL	1	2plREFL	ʔileile	ɦɑ-tse:-ŋuəȵi ʔileile i-tse-i-wɑ,”	INT-this:CL-TOP 2plREFL DIR-look-2pl-DTV
584	capture	2	capture // †capture	taipu // ts̥əqɑ	ɦɑ ʐmətʂi taipu,	INT emperor †capture
585	redressed)	1	†(redressed)	phinfanlɑ	likhemu ɦɑtə tɕiu tsoqpi ȵɑ phinfanlɑ,	Likhemu INT †(then) this:family COM †(redressed)
586	slow	1	slow	akha	χaiʂə ɦɑlɑ tɕiu akha,	†(still.is) INT †(then) slow
587	woman	1	woman	tsi	ɦɑlɑ tsi su-ɣdu:-lɑ ʐə-m ɦɑ,-kəzzi pe-kui,	there woman DIR-left.over-LOC exist-NOM INT-INDEF:two:CL become-NAR
588	left over	1	left.over	ɣdu:	ɦɑlɑ tsi su-ɣdu:-lɑ ʐə-m ɦɑ,-kəzzi pe-kui,	there woman DIR-left.over-LOC exist-NOM INT-INDEF:two:CL become-NAR
589	this // two	2	this:two:CL	tsəizzi // tsəzzi	ɦɑlɑ sə-xʂə-s-tɑ ʐə-m ɦɑlɑ tsəzzi-ŋuəȵi thɑnkhemu ȵɑ likhemu-tɕ mɑ: ləzzi-ŋuəȵi do-qu-kəi,	INT DIR-be.last-NOM-LOC exist-NOM INT this:two:CL-TOP Thɑnkhemu COM Likhemu-GEN mama DEF:two:CL-TOP DIR-afraid-NAR
590	grandfather	1	grandfather	ɑpə	tɕile-ɑpə lə tse-ze jɑpəq-tɑ die-ʂe-jy,	1pl-grandfather also this-CL hand-LOC DIR-die-ASP:EVID
591	know	1	know	n	tɕɑl kə mɑ-n-jy-ɑ,	where:LOC go NEG-know-ASP-1sg
592	overturn	2	overturn	qhuɑ // quɑ	ʁu nə-quɑ-kəi-wɑ,	mountain DIR-overturn-NAR-EMPH
593	assassin	1	†assassin	ʂɑʂəu	thɑnkhemu ȵɑ likhemu-tɕ ʂɑʂəu he-ɕi-ȵi,	Thɑnkhemu COM Likhemu-GEN †assassin DIR-send-ADV
594	helper	1	helper	wutʂhu	wutʂhu-pu-m-le-ɣle he-ɕi-ȵi ŋuə-tu,	helper-do-NOM-DEF-pl DIR-send-ADV COP-LNK
595	last	1	last	xʂə	sə-xʂə-s-tɑ ʐə-m ləzzi-ŋuəȵi tsɑ ɑ-ʂ i-le tɕhe-wɑ,”	DIR-last-NOM-LOC exist-NOM DEF:two:CL-TOP here one-while DIR-bring want-DTV
596	while	1	while	ʂ	sə-xʂə-s-tɑ ʐə-m ləzzi-ŋuəȵi tsɑ ɑ-ʂ i-le tɕhe-wɑ,”	DIR-last-NOM-LOC exist-NOM DEF:two:CL-TOP here one-while DIR-bring want-DTV
597	help up124	1	help.up124	fusɑn	ɦɑlɑ kəntɑu ɦɑlɑ fusɑn-tu-pu-ȵi fɑ tə-l̥əlɑ-kəi-wɑ,	INT immediately INT help.up124-DIR-do-ADV clothing DIR-change-NAR-EMPH
