Grapheme	IPA	Example	Count	Unicode
^	NULL			
$	NULL			
u	NULL	phusuluq, miɑuʁdʐue	100	U+0075
u$	u	wu, tu	100	U+0075 U+0024
ə$	ə	lə, jə	100	U+0259 U+0024
i$	i	tɕi, ɕi	100	U+0069 U+0024
ɑ	ɑ	lɑw, ɦɑlɑ	100	U+0251
ɑ$	ɑ	lɑ, thɑ	100	U+0251 U+0024
ə	ə	tɕəu, phənjəu	100	U+0259
i	i	χaiʂəχuijələjitian, tɕiu	100	U+0069
e$	e	le, se	98	U+0065 U+0024
p	p	ɑpə, ʂpɑʂpɑ	71	U+0070
a	a	sawu, qutaq	61	U+0061
^l	l	lə, le	60	U+005e U+006c
n$	n	fən, hɑn	60	U+006e U+0024
^s	s	se, sɑ	57	U+005e U+0073
^k	k	ku, ka:	56	U+005e U+006b
t	t	stu, steke	56	U+0074
n	n	phinfanlɑ, tɑntɑ	56	U+006e
^ʂ	ʂ	ʂə, ʂe	55	U+005e U+0282
^j	j	jə, ji	52	U+005e U+006a
^q	q	qu, qə	52	U+005e U+0071
^tɕ	tɕ	tɕi, tɕiu	50	U+005e U+0074 U+0255
e	e	steke, pefutsə	49	U+0065
tɕ	tɕ	ɕtɕi, xʂuɕtɕu	46	U+0074 U+0255
^m	m	mə, mɑ	45	U+005e U+006d
^t	t	tu, tɑ	45	U+005e U+0074
a$	a	ha, ɦa	43	U+0061 U+0024
^p	p	pə, pɑ:	42	U+005e U+0070
l	l	ɦɑlɑ, ʔile	39	U+006c
^ʐ	ʐ	ʐə, ʐmə	37	U+005e U+0290
^χ	χ	χaiʂə, χuɑ	34	U+005e U+03c7
q	q	tʂhəqtʂhɑqtʂhəqtʂhɑq, ts̥əqɑ	33	U+0071
^ts	ts	tsi, tsu	33	U+005e U+0074 U+0073
^ȵ	ȵ	ȵi, ȵi:	32	U+005e U+0235
o	o	khuoji, kou	32	U+006f
^ʁ	ʁ	ʁɑ, ʁu	31	U+005e U+0281
^w	w	wu, wɑ	30	U+005e U+0077
^ɕ	ɕ	ɕi, ɕtɕi	29	U+005e U+0255
q$	q	qutaq, məq	26	U+0071 U+0024
k	k	steke, ȵike	25	U+006b
tʂ	ʈʂ	mutsitʂu, qətʂi	24	U+0074 U+0282
^th	tʰ	thɑ, thə	24	U+005e U+0074 U+0068
^z	z	zə, zu	23	U+005e U+007a
m	m	ʐmə, ʐmu	23	U+006d
^h	h	hɑ, ha	23	U+005e U+0068
^ɦ	ɦ	ɦɑlɑ, ɦa	22	U+005e U+0266
z	z	ʁza, ʁza:	22	U+007a
ɑ:$	ɑː	kɑ:, lɑ:	21	U+0251 U+003a U+0024
^d	d	dzɑ, dzə	20	U+005e U+0064
^tʂ	ʈʂ	tʂi, tʂə	18	U+005e U+0074 U+0282
^g	g	gi, gueʴ	18	U+005e U+0067
̊	<?>	ʁů, otsůquɑ	17	U+030a
o$	o	tɕo, mo	17	U+006f U+0024
ts	ts	pefutsə, otsůquɑ	17	U+0074 U+0073
^ph	pʰ	phi, phə	17	U+005e U+0070 U+0068
ů$	<?>	ʁů, dʐuků	16	U+016f U+0024
s	s	suəsuɑ, qəstɑ	16	U+0073
w	w	sawu, ʐɑwɑ	15	U+0077
a:$	aː	ka:, ta:	15	U+0061 U+003a U+0024
p$	p	ʂp, təp	14	U+0070 U+0024
eʴ	eʴ	ɕtɕeʴpɕtɕeʴp, neʴwu	14	U+0065 U+02b4
l$	l	bəl, gul	14	U+006c U+0024
^n	n	nə, nɑ	14	U+005e U+006e
^tʂh	tʂh	tʂhə, tʂhetsə	14	U+005e U+0074 U+0282 U+0068
ʁ	ʁ	tɕaʁa, noʁu	13	U+0281
^tsh	tsh	tshən, tshəntɕɑ	13	U+005e U+0074 U+0073 U+0068
^tɕh	tɕh	tɕhi, tɕhə	12	U+005e U+0074 U+0255 U+0068
j	j	χaiʂəχuijələjitian, khuoji	11	U+006a
^b	b	bəl, bɑ	11	U+005e U+0062
ʂ	ʂ	χaiʂə, ʂɑʂəu	11	U+0282
zz	zz	tsəzzi, ʔizzi	10	U+007a U+007a
y$	y	jy, tɕy	10	U+0079 U+0024
?$	<?>	ʐɑ:?, si?	10	U+003f U+0024
ɕ	ɕ	xʂuɕtɕu, lɑupeɕin	10	U+0255
^ŋ	ŋ	ŋuəȵi, ŋuɑ	9	U+005e U+014b
^x	x	xte, xtɕu	9	U+005e U+0078
^xʂ	xʂ	xʂuɕtɕu, xʂə	9	U+005e U+0078 U+0282
tɕh	tɕh	ʁɑtɕhi, kɑntɕhi	9	U+0074 U+0255 U+0068
χ	χ	guχu, ȵiuχuɑn	9	U+03c7
eʴ$	eʴ	gueʴ, qeʴ	9	U+0065 U+02b4 U+0024
^ɣ	ɣ	ɣlu, ɣle	8	U+005e U+0263
^qh	qh	qheʴ, qhuɑ:	8	U+005e U+0071 U+0068
f	f	pefutsə, phinfanlɑ	8	U+0066
th	tʰ	kɑnthɑn, ʂpəthuʂ	8	U+0074 U+0068
^tɕ$	tɕ	tɕ	8	U+005e U+0074 U+0255 U+0024
tʂ$	ʈʂ	tutʂ, pɑtʂ	8	U+0074 U+0282 U+0024
^dʑ	dʑ	dʑe, dʑel	8	U+005e U+0064 U+0291
e:$	eː	le:, tse:	7	U+0065 U+003a U+0024
^ə	ə	əm, ək	7	U+005e U+0259
ȵ	ȵ	ŋuəȵi, puȵi	7	U+0235
s$	s	qəs, pəs	7	U+0073 U+0024
^kh	kʰ	khuoji, khuə	7	U+005e U+006b U+0068
^ɑ	ɑ	ɑpə, ɑ?	7	U+005e U+0251
^χs	χs	χsu, χsɑ	7	U+005e U+03c7 U+0073
^ʂ$	ʂ	ʂ	7	U+005e U+0282 U+0024
i:$	iː	ȵi:, mi:	7	U+0069 U+003a U+0024
əʴ	əʴ	χsəʴwu, pəʴʐə	7	U+0259 U+02b4
əʴ$	əʴ	ləʴ, pəʴ	7	U+0259 U+02b4 U+0024
dʑ	dʑ	ʑdʑy, ʑdʑi	7	U+0064 U+0291
g	g	ʐguə, ʐge	6	U+0067
^i$	i	i	6	U+005e U+0069 U+0024
ʐ	ʐ	ataʐə, meʴʐe:ʴ	6	U+0290
^l$	l	l	6	U+005e U+006c U+0024
ʂ$	ʂ	ʂpəthuʂ, ʂputhuʂ	6	U+0282 U+0024
m$	m	sətsim, ʂua:m	6	U+006d U+0024
^f	f	fən, fu	6	U+005e U+0066
h	h	stuɑhɑ, maha	6	U+0068
tʂh	tʂh	tʂhəqtʂhɑqtʂhəqtʂhɑq, wutʂhu	6	U+0074 U+0282 U+0068
y	y	jya, tɕyɑ	6	U+0079
^ɸ	ɸ	ɸi, ɸu	5	U+005e U+0278
^dʐ	ɖʐ	dʐə, dʐu	5	U+005e U+0064 U+0290
t$	t	ʁɑt, qhuɑt	5	U+0074 U+0024
^ʔ	ʔ	ʔile, ʔizzi	5	U+005e U+0294
^ɑ$	ɑ	ɑ	5	U+005e U+0251 U+0024
e:ʴ$	eːʴ	qe:ʴ, meʴʐe:ʴ	5	U+0065 U+003a U+02b4 U+0024
w$	w	lɑw, əw	5	U+0077 U+0024
kh	kʰ	thɑnkhemu, akha	5	U+006b U+0068
^i	i	iɕtɕi, ike	5	U+005e U+0069
^ʑ	ʑ	ʑdʑy, ʑdʑi?	5	U+005e U+0291
tsh	tsh	phɑntshə, wətshəi	5	U+0074 U+0073 U+0068
z$	z	lez, ɑz	5	U+007a U+0024
qh	qh	soqho, tɕhəqhɑ	4	U+0071 U+0068
^s$	s	s	4	U+005e U+0073 U+0024
^p$	p	p	4	U+005e U+0070 U+0024
u̥	u̥	ɑŋ̥u̥ə, ŋ̥u̥ə	4	U+0075 U+0325
^e	e	entɕi, ep	4	U+005e U+0065
^a$	a	a	4	U+005e U+0061 U+0024
^ɣʐ	ɣʐ	ɣʐə, ɣʐu	4	U+005e U+0263 U+0290
d	d	qodu, lde	4	U+0064
^a	a	afəʴali, ataʐ	4	U+005e U+0061
nʂ	nʂ	fɑntʂənʂə, tshenʂə	4	U+006e U+0282
^ʐ$	ʐ	ʐ	3	U+005e U+0290 U+0024
^o	o	otsůquɑ, oqpi	3	U+005e U+006f
^ɑ:$	ɑː	ɑ:	3	U+005e U+0251 U+003a U+0024
^xs	xs	xsə	3	U+005e U+0078 U+0073
tɕ$	tɕ	ɕtɕ, pitɕ	3	U+0074 U+0255 U+0024
^m$	m	m	3	U+005e U+006d U+0024
i!$	iǃ	hai!, hi!	3	U+0069 U+0021 U+0024
ɣ	ɣ	iɣi, ȵiɣi	3	U+0263
^a:$	aː	a:	3	U+005e U+0061 U+003a U+0024
^w$	w	w	3	U+005e U+0077 U+0024
ʐ$	ʐ	pəʴʐ, ataʐ	3	U+0290 U+0024
^u	u	uɬu, un	3	U+005e U+0075
ŋ	ŋ	tuŋtuŋ, ɦɑŋů	3	U+014b
o:	oː	ʐo:pu, ʐo:puɑ	3	U+006f U+003a
ɬ	ɬ	χɬɑ:, uɬu	3	U+026c
i:	iː	ɕtɕi:mi, ɕtɕi:miq	3	U+0069 U+003a
^ə$	ə	ə	2	U+005e U+0259 U+0024
^o$	o	o	2	U+005e U+006f U+0024
^e$	e	e	2	U+005e U+0065 U+0024
^q$	q	q	2	U+005e U+0071 U+0024
^ŋ̥	ŋ̊	ŋ̥u̥ə, ŋ̥u̥ə̥	2	U+005e U+014b U+0325
xʂ	xʂ	phuxʂu	2	U+0078 U+0282
^x$	x	x	2	U+005e U+0078 U+0024
^ɬ	ɬ	ɬi, ɬɑ	2	U+005e U+026c
ũ$	ũ	ʔũ, stũ	2	U+0169 U+0024
̃	<?>	ʔũ, stũ	2	U+0303
^n$	n	n	2	U+005e U+006e U+0024
a!$	aǃ	ha!, ɦa!	2	U+0061 U+0021 U+0024
aʴ	aʴ	χsaʴwu, qhaʴʁue	2	U+0061 U+02b4
^k$	k	k	2	U+005e U+006b U+0024
ə:ʴ	əːʴ	ʂəʂə:ʴwu, mə:ʴwu	2	U+0259 U+003a U+02b4
e:ʴ	eːʴ	ʂəʂe:ʴwu, le:ʴwu	2	U+0065 U+003a U+02b4
d$	d	buzd	2	U+0064 U+0024
dʐ	ɖʐ	ʁdʐe, miɑuʁdʐue	2	U+0064 U+0290
^g$	g	g	2	U+005e U+0067 U+0024
^u$	u	u	2	U+005e U+0075 U+0024
ə:ʴ$	əːʴ	tɕiqə:ʴ, qə:ʴ	2	U+0259 U+003a U+02b4 U+0024
χ$	χ	lɑχ, meʴχ	2	U+03c7 U+0024
nʐ	nʐ	shenʐə, sənʐə	2	U+006e U+0290
b	b	ʐbə, ʐbotɕu	2	U+0062
ŋ$	ŋ	tuŋtuŋ	2	U+014b U+0024
^ts̥	ts̥	ts̥əqɑ	2	U+005e U+0074 U+0073 U+0325
^j$	j	j	2	U+005e U+006a U+0024
ə:$	əː	kə:	2	U+0259 U+003a U+0024
^tʂ$	ʈʂ	tʂ	1	U+005e U+0074 U+0282 U+0024
ə̥$	ə̥	ŋ̥u̥ə̥	1	U+0259 U+0325 U+0024
ɸ$	ɸ	səɸ	1	U+0278 U+0024
ʁ$	ʁ	wɑʁ	1	U+0281 U+0024
k$	k	ək	1	U+006b U+0024
104$	<?>	ȵi104	1	U+0031 U+0030 U+0034 U+0024
tt	tt	kɑpətttʂ	1	U+0074 U+0074
105$	<?>	wɑ105	1	U+0031 U+0030 U+0035 U+0024
ph	pʰ	gɑnphai	1	U+0070 U+0068
e̊$	e̥	we̊	1	U+0065 U+030a U+0024
^ʁ$	ʁ	ʁ	1	U+005e U+0281 U+0024
ßh	ßh	tʂßhue	1	U+00df U+0068
^e:$	eː	e:	1	U+005e U+0065 U+003a U+0024
^ʐ̥	ʐ̥	ʐ̥ə	1	U+005e U+0290 U+0325
^g̥	g̊	g̥u̥ə	1	U+005e U+0067 U+0325
a:	aː	ʂua:m	1	U+0061 U+003a
ə̃ʴ	ə̃ʴ	ɦə̃ʴɦə̃ʴ	1	U+0259 U+0303 U+02b4
ɦ	ɦ	ɦə̃ʴɦə̃ʴ	1	U+0266
ə̃ʴ$	ə̃ʴ	ɦə̃ʴɦə̃ʴ	1	U+0259 U+0303 U+02b4 U+0024
107$	<?>	tʂhe107	1	U+0031 U+0030 U+0037 U+0024
109$	<?>	juɑnʁuɑi109	1	U+0031 U+0030 U+0039 U+0024
110$	<?>	ȵi110	1	U+0031 U+0031 U+0030 U+0024
^a!$	aǃ	a!	1	U+005e U+0061 U+0021 U+0024
x$	x	meʴx	1	U+0078 U+0024
ns	ns	pənsə	1	U+006e U+0073
111$	<?>	wu111	1	U+0031 U+0031 U+0031 U+0024
ů	<?>	otsůquɑ	1	U+016f
112$	<?>	ʁɑ112	1	U+0031 U+0031 U+0032 U+0024
114$	<?>	lə114	1	U+0031 U+0031 U+0034 U+0024
115$	<?>	sɑ115	1	U+0031 U+0031 U+0035 U+0024
116$	<?>	s116	1	U+0031 U+0031 U+0036 U+0024
^χʂ	χʂ	χʂə	1	U+005e U+03c7 U+0282
pɕ	pɕ	ɕtɕeʴpɕtɕeʴp	1	U+0070 U+0255
118$	<?>	tu118	1	U+0031 U+0031 U+0038 U+0024
^sh	sh	shenʐə	1	U+005e U+0073 U+0068
120$	<?>	stumpətʂe120	1	U+0031 U+0032 U+0030 U+0024
^ɕ$	ɕ	ɕ	1	U+005e U+0255 U+0024
ʔ	ʔ	ʂəʔəʴsui	1	U+0294
121$	<?>	ŋuɑ121	1	U+0031 U+0032 U+0031 U+0024
aʴ$	aʴ	qaʴ	1	U+0061 U+02b4 U+0024
dʑ$	dʑ	ʑdʑ	1	U+0064 U+0291 U+0024
ɑ:	ɑː	ʐɑ:?	1	U+0251 U+003a
^ɑ:ʴ$	ɑːʴ	ɑ:ʴ	1	U+005e U+0251 U+003a U+02b4 U+0024
ɸ	ɸ	səɸů	1	U+0278
^tɕh$	tɕh	tɕh	1	U+005e U+0074 U+0255 U+0068 U+0024
^e:!$	eːǃ	e:!	1	U+005e U+0065 U+003a U+0021 U+0024
122$	<?>	n122	1	U+0031 U+0032 U+0032 U+0024
^χʂ$	χʂ	χʂ	1	U+005e U+03c7 U+0282 U+0024
ŋ̥	ŋ̊	ɑŋ̥u̥ə	1	U+014b U+0325
123$	<?>	jy123	1	U+0031 U+0032 U+0033 U+0024
ü	ü	hüa	1	U+00fc
^e!$	eǃ	e!	1	U+005e U+0065 U+0021 U+0024
ʑ	ʑ	qəʑdʑi	1	U+0291
^q̥	q̥	q̥əti	1	U+005e U+0071 U+0325
u:$	uː	ɣdu:	1	U+0075 U+003a U+0024
^l̥	l̥	l̥əlɑ	1	U+005e U+006c U+0325
